simulation_time	physical_time	Enedis.curtailment_rate_consumption	Enedis.curtailment_rate_production	general_aggregator.curtailment_rate_consumption	general_aggregator.curtailment_rate_production	Local_DHN.curtailment_rate_consumption	Local_DHN.curtailment_rate_production	gas_aggregator.curtailment_rate_consumption	gas_aggregator.curtailment_rate_production	
0	2019-01-01 00:00:00	None	0.0	1.235415911775918e-16	0.0	0.0	0.0	None	1.0	
1	2019-01-01 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
2	2019-01-01 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
3	2019-01-01 03:00:00	None	0.0	1.3891880341456882e-16	0.0	0.0	0.0	None	1.0	
4	2019-01-01 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
5	2019-01-01 05:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
6	2019-01-01 06:00:00	None	0.0	1.2136981950866271e-16	0.0	None	0.0	None	1.0	
7	2019-01-01 07:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
8	2019-01-01 08:00:00	None	0.0	0.0	1.4132297455442607e-16	None	1.4669269383434326e-16	None	1.0	
9	2019-01-01 09:00:00	None	0.0	1.3656293805951597e-16	0.0	0.0	0.0	None	1.0	
10	2019-01-01 10:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
11	2019-01-01 11:00:00	None	0.0	2.1875239806345072e-16	1.419529801526021e-16	None	1.466493863233509e-16	None	1.0	
12	2019-01-01 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
13	2019-01-01 13:00:00	None	0.0	2.4767775791791077e-16	0.0	None	0.0	None	1.0	
14	2019-01-01 14:00:00	None	0.0	1.155901051266732e-16	0.0	None	0.0	None	1.0	
15	2019-01-01 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
16	2019-01-01 16:00:00	None	0.0	1.6598556696480986e-16	0.0	0.0	0.0	None	1.0	
17	2019-01-01 17:00:00	None	0.0	1.7653317454594123e-16	0.0	0.0	0.0	None	1.0	
18	2019-01-01 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
19	2019-01-01 19:00:00	None	0.0	1.1431420864293226e-16	0.0	0.0	0.0	None	1.0	
20	2019-01-01 20:00:00	None	0.0	1.268016913209281e-16	0.0	0.0	0.0	None	1.0	
21	2019-01-01 21:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
22	2019-01-01 22:00:00	None	0.0	1.1931836510647695e-16	0.0	0.0	0.0	None	1.0	
23	2019-01-01 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
24	2019-01-02 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
25	2019-01-02 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
26	2019-01-02 02:00:00	None	0.0	1.1519956065161248e-16	0.0	0.0	0.0	None	1.0	
27	2019-01-02 03:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
28	2019-01-02 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
29	2019-01-02 05:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
30	2019-01-02 06:00:00	None	0.0	2.0340576740739518e-16	0.0	None	0.0	None	1.0	
31	2019-01-02 07:00:00	None	0.0	1.1433228433086272e-16	0.0	None	0.0	None	1.0	
32	2019-01-02 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
33	2019-01-02 09:00:00	None	0.0	0.0	1.4001391616178796e-16	0.0	1.4669269383434326e-16	None	1.0	
34	2019-01-02 10:00:00	None	0.0	0.0	2.7926559104359874e-16	None	2.9338470143107103e-16	None	1.0	
35	2019-01-02 11:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
36	2019-01-02 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
37	2019-01-02 13:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
38	2019-01-02 14:00:00	None	0.0	1.9034824669356983e-16	0.0	None	0.0	None	1.0	
39	2019-01-02 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
40	2019-01-02 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
41	2019-01-02 17:00:00	None	0.0	2.1091029637608958e-16	0.0	0.0	0.0	None	1.0	
42	2019-01-02 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
43	2019-01-02 19:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
44	2019-01-02 20:00:00	None	0.0	2.858112351461195e-16	0.0	0.0	0.0	None	1.0	
45	2019-01-02 21:00:00	None	0.0	1.607024294956106e-16	0.0	0.0	0.0	None	1.0	
46	2019-01-02 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
47	2019-01-02 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
48	2019-01-03 00:00:00	None	0.0	0.0	1.39494879766297e-16	0.0	1.4669269383434326e-16	None	1.0	
49	2019-01-03 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
50	2019-01-03 02:00:00	None	0.0	1.173894910634577e-16	0.0	0.0	0.0	None	1.0	
51	2019-01-03 03:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
52	2019-01-03 04:00:00	None	0.0	0.0	1.3969653906965215e-16	0.0	1.4669269383434326e-16	None	1.0	
53	2019-01-03 05:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
54	2019-01-03 06:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
55	2019-01-03 07:00:00	None	0.0	1.1285495170681655e-16	0.0	None	0.0	None	1.0	
56	2019-01-03 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
57	2019-01-03 09:00:00	None	0.0	1.1483878709868097e-16	0.0	0.0	0.0	None	1.0	
58	2019-01-03 10:00:00	None	0.0	0.0	1.3365734945805011e-16	None	1.466690294077032e-16	None	1.0	
59	2019-01-03 11:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
60	2019-01-03 12:00:00	None	0.0	1.5483246882840646e-16	0.0	None	0.0	None	1.0	
61	2019-01-03 13:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
62	2019-01-03 14:00:00	None	0.0	1.9034824669356983e-16	0.0	None	0.0	None	1.0	
63	2019-01-03 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
64	2019-01-03 16:00:00	None	0.0	2.1245796788476856e-16	0.0	0.0	0.0	None	1.0	
65	2019-01-03 17:00:00	None	0.0	2.1091029637608958e-16	0.0	0.0	0.0	None	1.0	
66	2019-01-03 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
67	2019-01-03 19:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
68	2019-01-03 20:00:00	None	0.0	2.858112351461195e-16	0.0	0.0	0.0	None	1.0	
69	2019-01-03 21:00:00	None	0.0	1.607024294956106e-16	0.0	0.0	0.0	None	1.0	
70	2019-01-03 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
71	2019-01-03 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
72	2019-01-04 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
73	2019-01-04 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
74	2019-01-04 02:00:00	None	0.0	1.173894910634577e-16	0.0	0.0	0.0	None	0.6	
75	2019-01-04 03:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
76	2019-01-04 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
77	2019-01-04 05:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
78	2019-01-04 06:00:00	None	0.0	1.6052180664415937e-16	0.0	None	0.0	None	1.0	
79	2019-01-04 07:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
80	2019-01-04 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
81	2019-01-04 09:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
82	2019-01-04 10:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
83	2019-01-04 11:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
84	2019-01-04 12:00:00	None	0.0	1.5483246882840646e-16	0.0	None	0.0	None	1.0	
85	2019-01-04 13:00:00	None	0.0	0.0	1.3184994591783885e-16	None	1.4663313401641187e-16	None	1.0	
86	2019-01-04 14:00:00	None	0.0	1.9034824669356983e-16	0.0	None	0.0	None	1.0	
87	2019-01-04 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
88	2019-01-04 16:00:00	None	0.0	1.233361812774481e-16	0.0	0.0	0.0	None	1.0	
89	2019-01-04 17:00:00	None	0.0	2.1091029637608958e-16	0.0	0.0	0.0	None	1.0	
90	2019-01-04 18:00:00	None	0.0	0.0	1.3243710843607965e-16	0.0	1.4669269383434326e-16	None	1.0	
91	2019-01-04 19:00:00	None	0.0	0.0	1.3287941075673443e-16	0.0	1.4669269383434326e-16	None	1.0	
92	2019-01-04 20:00:00	None	0.0	2.858112351461195e-16	0.0	0.0	0.0	None	1.0	
93	2019-01-04 21:00:00	None	0.0	1.607024294956106e-16	0.0	0.0	0.0	None	1.0	
94	2019-01-04 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
95	2019-01-04 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
