simulation_time	physical_time	dummy_complete_profile_0_ElectricDam_0.energy	dummy_complete_profile_0_ElectricDam_0.money	
0	2019-01-01 00:00:00	-90.28069581960001	0.2	
1	2019-01-01 02:07:48	-91.19262204000002	0.155	
2	2019-01-01 04:15:36	-96.6641793624	0.0855	
3	2019-01-01 06:23:24	-108.9751833378	0.0669	
4	2019-01-01 08:31:12	-113.99077755	0.1524	
5	2019-01-01 10:39:00	-98.48803180320003	0.1332	
6	2019-01-01 12:46:48	-87.54491715840003	0.1441	
7	2019-01-01 14:54:36	-93.01647448080001	0.1214	
8	2019-01-01 17:02:24	-73.41006074220002	0.1205	
9	2019-01-01 19:10:12	-75.68987629320002	0.2202	
10	2019-01-01 21:18:00	-76.6018025136	0.2055	
11	2019-01-01 23:25:48	-88.91280648900002	0.2047	
12	2019-01-02 01:33:36	-80.24950739520003	0.1703	
13	2019-01-02 03:41:24	-79.33758117480001	0.1402	
14	2019-01-02 05:49:12	-77.96969184420003	0.0684	
15	2019-01-02 07:57:00	-81.1614336156	0.0873	
16	2019-01-02 10:04:48	-101.22381046440002	0.1332	
17	2019-01-02 12:12:36	-114.90270377040001	0.1441	
18	2019-01-02 14:20:24	-108.9751833378	0.1214	
19	2019-01-02 16:28:12	-95.75225314200003	0.1166	
20	2019-01-02 18:36:00	-101.67977357460002	0.179	
21	2019-01-02 20:43:48	-107.15133089700004	0.2157	
22	2019-01-02 22:51:36	-108.51922022760002	0.2281	
23	2019-01-03 00:59:24	-97.57610558280001	0.2	
24	2019-01-03 03:07:12	-89.36876959920001	0.1402	
25	2019-01-03 05:15:00	-86.17702782779999	0.0684	
26	2019-01-03 07:22:48	-98.03206869300001	0.0873	
27	2019-01-03 09:30:36	-113.53481443980002	0.1306	
28	2019-01-03 11:38:24	-99.39995802360002	0.1261	
29	2019-01-03 13:46:12	-97.12014247260002	0.1454	
30	2019-01-03 15:54:00	-95.2962900318	0.1234	
31	2019-01-03 18:01:48	-92.10454826040001	0.179	
32	2019-01-03 20:09:36	-88.45684337880002	0.2157	
33	2019-01-03 22:17:24	-94.84032692160001	0.2281	
34	2019-01-04 00:25:12	-151.8357156966	0.2	
35	2019-01-04 02:33:00	-169.61827699440005	0.155	
36	2019-01-04 04:40:48	-155.93938368840006	0.0855	
37	2019-01-04 06:48:36	-217.9503666756	0.0669	
38	2019-01-04 08:56:24	-224.33385021840002	0.1524	
39	2019-01-04 11:04:12	-247.13200572840003	0.1261	
40	2019-01-04 13:12:00	-311.8787673768001	0.1454	
41	2019-01-04 15:19:48	-334.6769228868	0.1234	
42	2019-01-04 17:27:36	-323.73380824200007	0.1205	
43	2019-01-04 19:35:24	-316.894361589	0.2202	
44	2019-01-04 21:43:12	-305.495283834	0.2055	
45	2019-01-04 23:51:00	-298.65583718100004	0.2047	
46	2019-01-05 01:58:48	-300.0237265116	0.1703	
47	2019-01-05 04:06:36	-329.66132867460004	0.0855	
48	2019-01-05 06:14:24	-316.894361589	0.0669	
49	2019-01-05 08:22:12	-296.8319847402	0.1524	
50	2019-01-05 10:30:00	-310.51087804620005	0.1332	
51	2019-01-05 12:37:48	-296.37602163	0.1441	
52	2019-01-05 14:45:36	-273.57786612	0.1214	
53	2019-01-05 16:53:24	-272.20997678940006	0.1166	
54	2019-01-05 19:01:12	-291.3604274178	0.2202	
55	2019-01-05 21:09:00	-299.5677634014001	0.2055	
56	2019-01-05 23:16:48	-272.6659398996	0.2047	
57	2019-01-06 01:24:36	-250.77971061000005	0.1703	
58	2019-01-06 03:32:24	-243.02833773660004	0.1402	
59	2019-01-06 05:40:12	-284.976943875	0.0684	
60	2019-01-06 07:48:00	-270.3861243486	0.0873	
61	2019-01-06 09:55:48	-292.72831674840006	0.1306	
62	2019-01-06 12:03:36	-332.3971073358001	0.1441	
63	2019-01-06 14:11:24	-407.1750574086001	0.1214	
64	2019-01-06 16:19:12	-469.64200350600004	0.1166	
65	2019-01-06 18:27:00	-469.64200350600004	0.179	
66	2019-01-06 20:34:48	-419.0300982738001	0.2157	
67	2019-01-06 22:42:36	-364.77048816000007	0.2281	
68	2019-01-07 00:50:24	-328.7494024542001	0.2	
69	2019-01-07 02:58:12	-369.78608237220004	0.155	
70	2019-01-07 05:06:00	-339.69251709900004	0.0684	
71	2019-01-07 07:13:48	-306.8631731646	0.0873	
72	2019-01-07 09:21:36	-282.69712832400006	0.1306	
73	2019-01-07 11:29:24	-267.19438257720003	0.1261	
74	2019-01-07 13:37:12	-281.7852021036	0.1454	
75	2019-01-07 15:45:00	-259.44300970380004	0.1234	
76	2019-01-07 17:52:48	-281.32923899340005	0.1205	
77	2019-01-07 20:00:36	-275.857681671	0.2157	
78	2019-01-07 22:08:24	-294.09620607900007	0.2281	
79	2019-01-08 00:16:12	-308.68702560540004	0.2	
80	2019-01-08 02:24:00	-292.27235363820006	0.155	
81	2019-01-08 04:31:48	-302.75950517280006	0.0855	
82	2019-01-08 06:39:36	-296.8319847402	0.0669	
83	2019-01-08 08:47:24	-282.69712832400006	0.1524	
84	2019-01-08 10:55:12	-271.29805056900005	0.1332	
85	2019-01-08 13:03:00	-251.69163683040006	0.1454	
86	2019-01-08 15:10:48	-238.9246697448	0.1234	
87	2019-01-08 17:18:36	-243.02833773660004	0.1205	
88	2019-01-08 19:26:24	-242.1164115162	0.2202	
89	2019-01-08 21:34:12	-253.97145238140007	0.2055	
90	2019-01-08 23:42:00	-236.1888910836	0.2047	
91	2019-01-09 01:49:48	-224.7898133286	0.1703	
92	2019-01-09 03:57:36	-267.6503456874001	0.1402	
93	2019-01-09 06:05:24	-260.35493592420005	0.0669	
94	2019-01-09 08:13:12	-250.32374749980002	0.1524	
95	2019-01-09 10:21:00	-246.22007950800005	0.1332	
96	2019-01-09 12:28:48	-245.7641163978	0.1441	
97	2019-01-09 14:36:36	-252.1475999406	0.1214	
98	2019-01-09 16:44:24	-248.04393194880006	0.1166	
99	2019-01-09 18:52:12	-243.02833773660004	0.179	
100	2019-01-09 21:00:00	-238.01274352440007	0.2055	
101	2019-01-09 23:07:48	-230.71733376120002	0.2047	
102	2019-01-10 01:15:36	-217.03844045520003	0.1703	
103	2019-01-10 03:23:24	-220.68614533680005	0.1402	
104	2019-01-10 05:31:12	-237.10081730400006	0.0684	
105	2019-01-10 07:39:00	-234.36503864280002	0.0873	
106	2019-01-10 09:46:48	-211.56688313280003	0.1306	
107	2019-01-10 11:54:36	-207.463215141	0.1261	
108	2019-01-10 14:02:24	-187.85680140240004	0.1214	
109	2019-01-10 16:10:12	-180.56139163920002	0.1166	
110	2019-01-10 18:18:00	-191.96046939420006	0.179	
111	2019-01-10 20:25:48	-200.16780537780002	0.2157	
112	2019-01-10 22:33:36	-204.72743647980002	0.2281	
113	2019-01-11 00:41:24	-202.44762092880003	0.2	
114	2019-01-11 02:49:12	-199.25587915740005	0.155	
