simulation_time	physical_time	Enedis.energy_sold_inside	Enedis.energy_sold_outside	Enedis.energy_bought_inside	Enedis.energy_bought_outside	Enedis.energy_erased_consumption	Enedis.energy_erased_production	Enedis.money_spent_inside	Enedis.money_spent_outside	Enedis.money_earned_inside	Enedis.money_earned_outside	general_aggregator.energy_sold_inside	general_aggregator.energy_sold_outside	general_aggregator.energy_bought_inside	general_aggregator.energy_bought_outside	general_aggregator.energy_erased_consumption	general_aggregator.energy_erased_production	general_aggregator.money_spent_inside	general_aggregator.money_spent_outside	general_aggregator.money_earned_inside	general_aggregator.money_earned_outside	Local_DHN.energy_sold_inside	Local_DHN.energy_sold_outside	Local_DHN.energy_bought_inside	Local_DHN.energy_bought_outside	Local_DHN.energy_erased_consumption	Local_DHN.energy_erased_production	Local_DHN.money_spent_inside	Local_DHN.money_spent_outside	Local_DHN.money_earned_inside	Local_DHN.money_earned_outside	gas_aggregator.energy_sold_inside	gas_aggregator.energy_sold_outside	gas_aggregator.energy_bought_inside	gas_aggregator.energy_bought_outside	gas_aggregator.energy_erased_consumption	gas_aggregator.energy_erased_production	gas_aggregator.money_spent_inside	gas_aggregator.money_spent_outside	gas_aggregator.money_earned_inside	gas_aggregator.money_earned_outside	
0	2019-01-01 00:00:00	0	0	2795.74984705173	0	0	0.0	279.574984705173	0	0	0	414.5255559318245	2795.74984705173	3210.275402983554	0	-1.7053025658242404e-13	0.0	332.2812669824905	0	41.72537106565685	279.574984705173	2.2618638577960777	3097.738136142204	3100	0	0.0	0	310.0	0	0.33927957866941166	309.77381361422044	0	0	0	0	0	1000	0	0	0.0	0	
1	2019-01-01 01:00:00	0	0	3096.0898718546823	0	0	0.0	309.60898718546827	0	0	0	106.70862305466261	3096.0898718546823	3202.7984949093448	0	4.831690603168681e-13	0.0	327.5177421641385	0	10.728999170599222	309.60898718546827	0.1587266156050743	3099.8412733843948	3100	0	0.0	0	310.0	0	0.023808992340761146	309.9841273384395	0	0	0	0	0	1000	0	0	0.0	0	
2	2019-01-01 02:00:00	0	0	3102.8326993789296	0	0	0.0	310.283269937893	0	0	0	95.73335087907037	3102.8326993789296	3198.566050258	0	-2.5579538487363607e-13	0.0	325.27773778999	0	9.619893588546832	310.283269937893	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
3	2019-01-01 03:00:00	0	0	3091.6289831520444	0	0	0.0	309.1628983152045	0	0	0	105.35360256095557	3091.6289831520444	3196.982585713	0	3.979039320256561e-13	0.0	323.5969585169626	0	10.567426943680024	309.1628983152045	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
4	2019-01-01 04:00:00	0	0	3093.4416866514707	0	0	0.0	309.3441686651471	0	0	0	104.48160930017917	3093.4416866514707	3197.92329595165	0	4.121147867408581e-13	0.0	318.3724418038661	0	10.43588641621285	309.3441686651471	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
5	2019-01-01 05:00:00	0	0	3103.8571922069823	0	0	0.0	310.38571922069826	0	0	0	100.83709992206795	3103.8571922069823	3204.69429212905	0	-1.1368683772161603e-13	0.0	317.16108958162704	0	10.056960017293747	310.38571922069826	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
6	2019-01-01 06:00:00	0	0	3125.5588520378637	0	0	0.0	312.5558852037864	0	0	0	83.42797142518627	3125.5588520378637	3208.98682346305	0	4.831690603168681e-13	0.0	317.29121848967804	0	8.31174816531075	312.5558852037864	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
7	2019-01-01 07:00:00	0	0	3118.3685797815288	0	0	0.0	311.8368579781529	0	0	0	96.08786532667138	3118.3685797815288	3214.4564451082	0	3.268496584496461e-13	0.0	319.9920476579459	0	9.597369689270987	311.8368579781529	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
8	2019-01-01 08:00:00	0	0	3142.090460902708	0	0	0.0	314.2090460902708	0	0	0	75.69739220628891	3142.090460902708	3217.787853108997	0	5.684341886080802e-14	4.547473508864641e-13	327.9508688138111	0	7.690261855275645	314.2090460902708	0	3099.9999999999995	3099.9999999999995	0	0	4.547473508864641e-13	309.99999999999994	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
9	2019-01-01 09:00:00	0	0	3108.78869694974	0	0	0.0	310.878869694974	0	0	0	102.8604586254325	3108.78869694974	3211.6491555751722	0	-2.4158453015843406e-13	0.0	324.6073207746766	0	11.084454107044055	310.878869694974	0.9988874897678325	3099.1522530536254	3100.151140543393	0	0.0	0.0	310.0151140543393	0	0.14983312346517486	309.9152253053626	0	0	0	0	0	1000	0	0	0.0	0	
10	2019-01-01 10:00:00	0	0	3126.2519235981454	0	0	0.0	312.62519235981455	0	0	0	83.9763636671194	3126.2519235981454	3210.2282872652645	0	-1.4210854715202004e-14	0.0	324.66815432877064	0	8.411086532343493	312.62519235981455	0	3100.42932334225	3100.42932334225	0	0	0.0	310.042932334225	0	0	310.04293233422504	0	0	0	0	0	1000	0	0	0.0	0	
11	2019-01-01 11:00:00	0	0	3074.6291235973704	0	0	0.0	307.46291235973706	0	0	0	128.87777282426256	3074.6291235973704	3203.506896421633	0	0.0	4.547473508864641e-13	323.0283258414446	0	14.57105530938882	307.46291235973706	0	3100.9154711618107	3100.9154711618107	0	0	4.547473508864641e-13	310.09154711618106	0	0	310.0915471161811	0	0	0	0	0	1000	0	0	0.0	0	
12	2019-01-01 12:00:00	0	0	3110.893685946328	0	0	0.0	311.0893685946328	0	0	0	85.27227208861463	3110.893685946328	3196.1659580349424	0	-1.4210854715202004e-14	0.0	323.826097783362	0	15.094378410427215	311.0893685946328	0.39853735028769527	3100.712398400755	3101.1109357510427	0	0.0	0.0	310.1110935751043	0	0.05978060254315429	310.0712398400755	0	0	0	0	0	1000	0	0	0.0	0	
13	2019-01-01 13:00:00	0	0	3098.38202408997	0	0	0.0	309.838202408997	0	0	0	100.5270767245768	3098.38202408997	3198.9091008145465	0	0.0	0.0	324.32386745777916	0	19.92624997129612	309.838202408997	0.013428783705266595	3101.2668678558593	3101.2802966395648	0	0.0	0.0	310.12802966395645	0	0.002014317555789989	310.12668678558595	0	0	0	0	0	1000	0	0	0.0	0	
14	2019-01-01 14:00:00	0	0	3153.328465948522	0	0	0.0	315.33284659485224	0	0	0	71.72797441279016	3153.328465948522	3225.0564403613116	0	-9.947598300641403e-14	0.0	325.16229798880846	0	14.299932424544417	315.33284659485224	0.08578185086639543	3100.9137322922847	3100.999514143151	0	0.0	0.0	310.09995141431506	0	0.012867277629959315	310.0913732292285	0	0	0	0	0	1000	0	0	0.0	0	
15	2019-01-01 15:00:00	0	0	3112.304735115948	0	0	0.0	311.2304735115948	0	0	0	93.25325881496413	3112.304735115948	3205.557993930912	0	-2.842170943040401e-14	0.0	323.01681372355915	0	18.617374493203393	311.2304735115948	0.07208173558383985	3100.386441346811	3100.4585230823945	0	0.0	0.0	310.04585230823943	0	0.010812260337575976	310.03864413468114	0	0	0	0	0	1000	0	0	0.0	0	
16	2019-01-01 16:00:00	0	0	3097.7398146096357	0	0	0.0	309.77398146096357	0	0	0	92.69161408796643	3097.7398146096357	3190.4314286976023	0	-4.121147867408581e-13	0.0	320.542409313236	0	18.439267003066377	309.77398146096357	0.08448859569245466	3100.1141730665304	3100.198661662223	0	0.0	0.0	310.0198661662223	0	0.0126732893538682	310.0114173066531	0	0	0	0	0	1000	0	0	0.0	0	
17	2019-01-01 17:00:00	0	0	3075.68139356736	0	0	0.0	307.568139356736	0	0	0	107.51610744065391	3075.68139356736	3183.1975010080137	0	1.1368683772161603e-13	0.0	320.02735103920617	0	21.29858460696308	307.568139356736	0.10010574343652749	3099.8998942565636	3100	0	0.0	0	310.0	0	0.015015861515479123	309.9899894256564	0	0	0	0	0	1000	0	0	0.0	0	
18	2019-01-01 18:00:00	0	0	3059.067952795191	0	0	0.0	305.90679527951914	0	0	0	128.2365480788988	3059.067952795191	3187.30450087409	0	-2.842170943040401e-14	0.0	325.63665485883865	0	25.63729036702729	305.90679527951914	0.11581268831026022	3099.88418731169	3100	0	0.0	0	310.0	0	0.017371903246539033	309.988418731169	0	0	0	0	0	1000	0	0	0.0	0	
19	2019-01-01 19:00:00	0	0	2961.5262001139827	0	0	0.0	296.15262001139826	0	0	0	222.03368391250189	2961.5262001139827	3183.5598840264847	0	1.1368683772161603e-12	0.0	328.4150570268411	0	44.4157824120842	296.15262001139826	0.12621101671548124	3099.8737889832846	3100	0	0.0	0	310.0	0	0.018931652507322184	309.9873788983285	0	0	0	0	0	1000	0	0	0.0	0	
20	2019-01-01 20:00:00	0	0	2965.676198014589	0	0	0.0	296.5676198014589	0	0	0	213.73010418702128	2965.676198014589	3179.4063022016103	0	1.4210854715202004e-13	0.0	327.3753799799245	0	42.75979900268918	296.5676198014589	2.1386395422396776	3097.8613604577604	3100	0	0.0	0	310.0	0	0.3207959313359516	309.78613604577606	0	0	0	0	0	1000	0	0	0.0	0	
21	2019-01-01 21:00:00	0	0	2987.50537801163	0	0	0.0	298.75053780116303	0	0	0	202.2795711667236	2987.50537801163	3189.7849491783536	0	3.979039320256561e-13	0.0	328.4696742289632	0	40.46063353246984	298.75053780116303	0.1788357612462207	3099.8211642387537	3100	0	0.0	0	310.0	0	0.026825364186933102	309.98211642387537	0	0	0	0	0	1000	0	0	0.0	0	
22	2019-01-01 22:00:00	0	0	2995.7015186715294	0	0	0.0	299.57015186715296	0	0	0	210.608266700756	2995.7015186715294	3206.309785372285	0	2.8421709430404007e-13	0.0	334.27000709140503	0	42.15706989425209	299.57015186715296	0.1619441685148121	3099.8380558314852	3100	0	0.0	0	310.0	0	0.024291625277221816	309.9838055831485	0	0	0	0	0	1000	0	0	0.0	0	
23	2019-01-01 23:00:00	0	0	2969.9333014696185	0	0	0.0	296.99333014696185	0	0	0	254.0761655220576	2969.9333014696185	3224.009466991676	0	9.094947017729282e-13	0.0	335.4029779540205	0	50.82533491997324	296.99333014696185	0.17421261532391447	3099.825787384676	3100	0	0.0	0	310.0	0	0.02613189229858717	309.9825787384676	0	0	0	0	0	1000	0	0	0.0	0	
24	2019-01-02 00:00:00	0	0	3109.321949812689	0	0	0.0	310.93219498126894	0	0	0	123.89157313147818	3109.321949812689	3233.2135229441674	0	4.405364961712621e-13	0.0	336.6612540685768	0	12.81197278562215	310.93219498126894	0.18549479743261355	3099.8145052025675	3100	0	0.0	0	310.0	0	0.02782421961489203	309.9814505202568	0	0	0	0	0	1000	0	0	0.0	0	
25	2019-01-02 01:00:00	0	0	3116.777602037357	0	0	0.0	311.6777602037357	0	0	0	125.97409284702589	3116.777602037357	3242.751694884383	0	5.542233338928781e-13	0.0	334.3244400921447	0	12.758249422102331	311.6777602037357	0.19667785681656746	3099.8033221431833	3100	0	0.0	0	310.0	0	0.029501678522485118	309.98033221431837	0	0	0	0	0	1000	0	0	0.0	0	
26	2019-01-02 02:00:00	0	0	3133.174455882968	0	0	0.0	313.3174455882968	0	0	0	125.83466078343234	3133.174455882968	3259.0091166664	0	-5.684341886080802e-14	0.0	334.64641308329203	0	12.712524578983006	313.3174455882968	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
27	2019-01-02 03:00:00	0	0	3139.4204340250567	0	0	0.0	313.9420434025057	0	0	0	122.75982852249332	3139.4204340250567	3262.1802625475502	0	-2.7000623958883807e-13	0.0	332.73767280916655	0	12.369920214867618	313.9420434025057	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
28	2019-01-02 04:00:00	0	0	3143.562681299486	0	0	0.0	314.3562681299486	0	0	0	120.32712969646394	3143.562681299486	3263.88981099595	0	-2.984279490192421e-13	0.0	324.0125788401537	0	11.998971724348701	314.3562681299486	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
