simulation_time	physical_time	mean_Enedis.curtailment_rate_consumption	min_Enedis.curtailment_rate_consumption	max_Enedis.curtailment_rate_consumption	sum_Enedis.curtailment_rate_consumption	mean_Enedis.curtailment_rate_production	min_Enedis.curtailment_rate_production	max_Enedis.curtailment_rate_production	sum_Enedis.curtailment_rate_production	mean_general_aggregator.curtailment_rate_consumption	min_general_aggregator.curtailment_rate_consumption	max_general_aggregator.curtailment_rate_consumption	sum_general_aggregator.curtailment_rate_consumption	mean_general_aggregator.curtailment_rate_production	min_general_aggregator.curtailment_rate_production	max_general_aggregator.curtailment_rate_production	sum_general_aggregator.curtailment_rate_production	mean_Local_DHN.curtailment_rate_consumption	min_Local_DHN.curtailment_rate_consumption	max_Local_DHN.curtailment_rate_consumption	sum_Local_DHN.curtailment_rate_consumption	mean_Local_DHN.curtailment_rate_production	min_Local_DHN.curtailment_rate_production	max_Local_DHN.curtailment_rate_production	sum_Local_DHN.curtailment_rate_production	mean_gas_aggregator.curtailment_rate_consumption	min_gas_aggregator.curtailment_rate_consumption	max_gas_aggregator.curtailment_rate_consumption	sum_gas_aggregator.curtailment_rate_consumption	mean_gas_aggregator.curtailment_rate_production	min_gas_aggregator.curtailment_rate_production	max_gas_aggregator.curtailment_rate_production	sum_gas_aggregator.curtailment_rate_production	
0	2019-01-01 00:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	4.113865940040392e-16	4.113865940040392e-16	4.113865940040392e-16	4.113865940040392e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	1.0	
2	2019-01-01 02:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	3.599942896468192e-15	2.67195687317741e-15	4.5279289197589734e-15	7.199885792936384e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
4	2019-01-01 04:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	3.860609265233216e-15	3.7768421995387874e-15	3.9443763309276455e-15	7.721218530466432e-15	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
6	2019-01-01 06:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	3.4594411383549807e-15	1.127430656072806e-15	5.7914516206371554e-15	6.9188822767099614e-15	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
8	2019-01-01 08:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	2.076250146180164e-15	7.509296846831857e-16	3.4015706076771423e-15	4.152500292360328e-15	7.066148727721304e-17	0.0	1.4132297455442607e-16	1.4132297455442607e-16	0	inf	-inf	0	7.334634691717163e-17	0.0	1.4669269383434326e-16	1.4669269383434326e-16	0	inf	-inf	0	1.0	1.0	1.0	2.0	
10	2019-01-01 10:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.2589436168609278e-15	1.692244590577123e-16	2.3486627746641433e-15	2.5178872337218557e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
12	2019-01-01 12:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	8.332635197309003e-17	0.0	1.6665270394618006e-16	1.6665270394618006e-16	7.097649007630105e-17	0.0	1.419529801526021e-16	1.419529801526021e-16	0.0	0.0	0.0	0.0	7.332469316167544e-17	0.0	1.466493863233509e-16	1.466493863233509e-16	0	inf	-inf	0	1.0	1.0	1.0	2.0	
14	2019-01-01 14:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	6.934252906260526e-16	0.0	1.3868505812521052e-15	1.3868505812521052e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
16	2019-01-01 16:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	2.3754323545743228e-15	3.0477979849261045e-16	4.4460849106560354e-15	4.7508647091486455e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
18	2019-01-01 18:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	6.395142794220162e-16	2.2163501635210328e-16	1.0573935424919291e-15	1.2790285588440325e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
20	2019-01-01 20:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	2.892574515309772e-15	6.64897196829465e-16	5.120251833790079e-15	5.785149030619544e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
22	2019-01-01 22:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.658302414978546e-15	1.3495058800700888e-15	1.9670989498870033e-15	3.316604829957092e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
24	2019-01-02 00:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	3.5677186652874126e-15	3.555822926743754e-15	3.579614403831072e-15	7.135437330574825e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
26	2019-01-02 02:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	2.425616746783052e-15	4.517310135928158e-16	4.3995024799732885e-15	4.851233493566104e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
28	2019-01-02 04:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	2.339802953381862e-15	2.1994673896059193e-15	2.480138517157804e-15	4.679605906763724e-15	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	1.0	1.0	1.0	2.0	
