simulation_time	physical_time	Enedis.weighed_curtailment_rate_consumption	Enedis.weighed_curtailment_rate_production	general_aggregator.weighed_curtailment_rate_consumption	general_aggregator.weighed_curtailment_rate_production	Local_DHN.weighed_curtailment_rate_consumption	Local_DHN.weighed_curtailment_rate_production	gas_aggregator.weighed_curtailment_rate_consumption	gas_aggregator.weighed_curtailment_rate_production	
0	2019-01-01 00:00:00	None	0.0	4.113865940040392e-16	0.0	0.0	0.0	None	1.0	
1	2019-01-01 01:00:00	None	0.0	4.5279289197589734e-15	0.0	0.0	0.0	None	1.0	
2	2019-01-01 02:00:00	None	0.0	2.67195687317741e-15	0.0	None	0.0	None	1.0	
3	2019-01-01 03:00:00	None	0.0	3.7768421995387874e-15	0.0	None	0.0	None	1.0	
4	2019-01-01 04:00:00	None	0.0	3.9443763309276455e-15	0.0	None	0.0	None	1.0	
5	2019-01-01 05:00:00	None	0.0	1.127430656072806e-15	0.0	None	0.0	None	1.0	
6	2019-01-01 06:00:00	None	0.0	5.7914516206371554e-15	0.0	None	0.0	None	1.0	
7	2019-01-01 07:00:00	None	0.0	3.4015706076771423e-15	0.0	None	0.0	None	1.0	
8	2019-01-01 08:00:00	None	0.0	7.509296846831857e-16	1.4132297455442607e-16	None	1.4669269383434326e-16	None	1.0	
9	2019-01-01 09:00:00	None	0.0	2.3486627746641433e-15	0.0	0.0	0.0	None	1.0	
10	2019-01-01 10:00:00	None	0.0	1.692244590577123e-16	0.0	None	0.0	None	1.0	
11	2019-01-01 11:00:00	None	0.0	0.0	1.419529801526021e-16	None	1.466493863233509e-16	None	1.0	
12	2019-01-01 12:00:00	None	0.0	1.6665270394618006e-16	0.0	0.0	0.0	None	1.0	
13	2019-01-01 13:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
14	2019-01-01 14:00:00	None	0.0	1.3868505812521052e-15	0.0	0.0	0.0	None	1.0	
15	2019-01-01 15:00:00	None	0.0	3.0477979849261045e-16	0.0	0.0	0.0	None	1.0	
16	2019-01-01 16:00:00	None	0.0	4.4460849106560354e-15	0.0	0.0	0.0	None	1.0	
17	2019-01-01 17:00:00	None	0.0	1.0573935424919291e-15	0.0	0.0	0.0	None	1.0	
18	2019-01-01 18:00:00	None	0.0	2.2163501635210328e-16	0.0	0.0	0.0	None	1.0	
19	2019-01-01 19:00:00	None	0.0	5.120251833790079e-15	0.0	0.0	0.0	None	1.0	
20	2019-01-01 20:00:00	None	0.0	6.64897196829465e-16	0.0	0.0	0.0	None	1.0	
21	2019-01-01 21:00:00	None	0.0	1.9670989498870033e-15	0.0	0.0	0.0	None	1.0	
22	2019-01-01 22:00:00	None	0.0	1.3495058800700888e-15	0.0	0.0	0.0	None	1.0	
23	2019-01-01 23:00:00	None	0.0	3.579614403831072e-15	0.0	0.0	0.0	None	1.0	
24	2019-01-02 00:00:00	None	0.0	3.555822926743754e-15	0.0	0.0	0.0	None	1.0	
25	2019-01-02 01:00:00	None	0.0	4.3995024799732885e-15	0.0	0.0	0.0	None	1.0	
26	2019-01-02 02:00:00	None	0.0	4.517310135928158e-16	0.0	None	0.0	None	1.0	
27	2019-01-02 03:00:00	None	0.0	2.1994673896059193e-15	0.0	None	0.0	None	1.0	
28	2019-01-02 04:00:00	None	0.0	2.480138517157804e-15	0.0	None	0.0	None	1.0	
29	2019-01-02 05:00:00	None	0.0	1.918931147572603e-15	0.0	None	0.0	None	1.0	
30	2019-01-02 06:00:00	None	0.0	4.640290553122193e-15	0.0	None	0.0	None	1.0	
31	2019-01-02 07:00:00	None	0.0	2.708528008547805e-15	0.0	None	0.0	None	1.0	
32	2019-01-02 08:00:00	None	0.0	6.241844932782664e-15	0.0	None	0.0	None	1.0	
33	2019-01-02 09:00:00	None	0.0	3.971131584664883e-15	1.400358529266012e-16	0.0	1.4669269383434326e-16	None	1.0	
34	2019-01-02 10:00:00	None	0.0	4.9924525760789854e-15	2.7926559104359874e-16	None	2.9338470143107103e-16	None	1.0	
35	2019-01-02 11:00:00	None	0.0	1.7688992791966735e-15	0.0	None	0.0	None	1.0	
36	2019-01-02 12:00:00	None	0.0	4.771830720237952e-15	0.0	0.0	0.0	None	1.0	
37	2019-01-02 13:00:00	None	0.0	5.701416431583274e-15	0.0	0.0	0.0	None	1.0	
38	2019-01-02 14:00:00	None	0.0	9.97726568921688e-16	0.0	0.0	0.0	None	1.0	
39	2019-01-02 15:00:00	None	0.0	1.5235361841458777e-16	0.0	0.0	0.0	None	1.0	
40	2019-01-02 16:00:00	None	0.0	1.2681673057752518e-15	0.0	0.0	0.0	None	1.0	
41	2019-01-02 17:00:00	None	0.0	3.591636646580449e-15	0.0	0.0	0.0	None	1.0	
42	2019-01-02 18:00:00	None	0.0	5.392184729344057e-15	0.0	0.0	0.0	None	1.0	
