simulation_time	physical_time	family_loads.Local_DHN.LTH.minimum_energy	
0	2019-01-01 00:00:00	0	
1	2019-01-01 01:00:00	0	
2	2019-01-01 02:00:00	0	
3	2019-01-01 03:00:00	0	
4	2019-01-01 04:00:00	0	
5	2019-01-01 05:00:00	0	
6	2019-01-01 06:00:00	0	
7	2019-01-01 07:00:00	0	
8	2019-01-01 08:00:00	0	
9	2019-01-01 09:00:00	0	
10	2019-01-01 10:00:00	0	
11	2019-01-01 11:00:00	0	
12	2019-01-01 12:00:00	0	
13	2019-01-01 13:00:00	0	
14	2019-01-01 14:00:00	0	
15	2019-01-01 15:00:00	0	
16	2019-01-01 16:00:00	0	
17	2019-01-01 17:00:00	0	
18	2019-01-01 18:00:00	0	
19	2019-01-01 19:00:00	0	
20	2019-01-01 20:00:00	0	
21	2019-01-01 21:00:00	0	
22	2019-01-01 22:00:00	0	
23	2019-01-01 23:00:00	0	
24	2019-01-02 00:00:00	0	
25	2019-01-02 01:00:00	0	
26	2019-01-02 02:00:00	0	
27	2019-01-02 03:00:00	0	
28	2019-01-02 04:00:00	0	
29	2019-01-02 05:00:00	0	
30	2019-01-02 06:00:00	0	
31	2019-01-02 07:00:00	0	
32	2019-01-02 08:00:00	0	
33	2019-01-02 09:00:00	0	
34	2019-01-02 10:00:00	0	
35	2019-01-02 11:00:00	0	
36	2019-01-02 12:00:00	0	
37	2019-01-02 13:00:00	0	
38	2019-01-02 14:00:00	0	
39	2019-01-02 15:00:00	0	
40	2019-01-02 16:00:00	0	
41	2019-01-02 17:00:00	0	
42	2019-01-02 18:00:00	0	
43	2019-01-02 19:00:00	0	
44	2019-01-02 20:00:00	0	
45	2019-01-02 21:00:00	0	
46	2019-01-02 22:00:00	0	
47	2019-01-02 23:00:00	0	
48	2019-01-03 00:00:00	0	
49	2019-01-03 01:00:00	0	
50	2019-01-03 02:00:00	0	
51	2019-01-03 03:00:00	0	
52	2019-01-03 04:00:00	0	
53	2019-01-03 05:00:00	0	
54	2019-01-03 06:00:00	0	
55	2019-01-03 07:00:00	0	
56	2019-01-03 08:00:00	0	
57	2019-01-03 09:00:00	0	
58	2019-01-03 10:00:00	0	
59	2019-01-03 11:00:00	0	
60	2019-01-03 12:00:00	0	
61	2019-01-03 13:00:00	0	
62	2019-01-03 14:00:00	0	
63	2019-01-03 15:00:00	0	
64	2019-01-03 16:00:00	0	
65	2019-01-03 17:00:00	0	
66	2019-01-03 18:00:00	0	
67	2019-01-03 19:00:00	0	
68	2019-01-03 20:00:00	0	
69	2019-01-03 21:00:00	0	
70	2019-01-03 22:00:00	0	
71	2019-01-03 23:00:00	0	
72	2019-01-04 00:00:00	0	
73	2019-01-04 01:00:00	0	
74	2019-01-04 02:00:00	0	
75	2019-01-04 03:00:00	0	
76	2019-01-04 04:00:00	0	
77	2019-01-04 05:00:00	0	
78	2019-01-04 06:00:00	0	
79	2019-01-04 07:00:00	0	
80	2019-01-04 08:00:00	0	
81	2019-01-04 09:00:00	0	
82	2019-01-04 10:00:00	0	
83	2019-01-04 11:00:00	0	
84	2019-01-04 12:00:00	0	
85	2019-01-04 13:00:00	0	
86	2019-01-04 14:00:00	0	
87	2019-01-04 15:00:00	0	
88	2019-01-04 16:00:00	0	
89	2019-01-04 17:00:00	0	
90	2019-01-04 18:00:00	0	
91	2019-01-04 19:00:00	0	
92	2019-01-04 20:00:00	0	
93	2019-01-04 21:00:00	0	
94	2019-01-04 22:00:00	0	
95	2019-01-04 23:00:00	0	
96	2019-01-05 00:00:00	0	
97	2019-01-05 01:00:00	0	
98	2019-01-05 02:00:00	0	
99	2019-01-05 03:00:00	0	
100	2019-01-05 04:00:00	0	
101	2019-01-05 05:00:00	0	
102	2019-01-05 06:00:00	0	
103	2019-01-05 07:00:00	0	
104	2019-01-05 08:00:00	0	
105	2019-01-05 09:00:00	0	
106	2019-01-05 10:00:00	0	
107	2019-01-05 11:00:00	0	
108	2019-01-05 12:00:00	0	
109	2019-01-05 13:00:00	0	
110	2019-01-05 14:00:00	0	
111	2019-01-05 15:00:00	0	
112	2019-01-05 16:00:00	0	
113	2019-01-05 17:00:00	0	
114	2019-01-05 18:00:00	0	
115	2019-01-05 19:00:00	0	
116	2019-01-05 20:00:00	0	
117	2019-01-05 21:00:00	0	
118	2019-01-05 22:00:00	0	
119	2019-01-05 23:00:00	0	
120	2019-01-06 00:00:00	0	
121	2019-01-06 01:00:00	0	
122	2019-01-06 02:00:00	0	
123	2019-01-06 03:00:00	0	
124	2019-01-06 04:00:00	0	
125	2019-01-06 05:00:00	0	
126	2019-01-06 06:00:00	0	
127	2019-01-06 07:00:00	0	
128	2019-01-06 08:00:00	0	
129	2019-01-06 09:00:00	0	
130	2019-01-06 10:00:00	0	
