simulation_time	physical_time	heat_sink.energy	heat_sink.money	
0	2018-01-01 00:00:00	1100.0	0.5	
1	2018-01-01 01:00:00	1100.0	0.5	
2	2018-01-01 02:00:00	1100.0	0.5	
3	2018-01-01 03:00:00	1100.0	0.5	
4	2018-01-01 04:00:00	1100.0	0.5	
5	2018-01-01 05:00:00	1100.0	0.5	
6	2018-01-01 06:00:00	1100.0	0.5	
7	2018-01-01 07:00:00	1100.0	0.5	
8	2018-01-01 08:00:00	1100.0	0.5	
9	2018-01-01 09:00:00	1100.0	0.5	
10	2018-01-01 10:00:00	1100.0	0.5	
11	2018-01-01 11:00:00	1100.0	0.5	
12	2018-01-01 12:00:00	1100.0	0.5	
13	2018-01-01 13:00:00	1100.0	0.5	
14	2018-01-01 14:00:00	1100.0	0.5	
15	2018-01-01 15:00:00	1100.0	0.5	
16	2018-01-01 16:00:00	1100.0	0.5	
17	2018-01-01 17:00:00	1100.0	0.5	
18	2018-01-01 18:00:00	1100.0	0.5	
19	2018-01-01 19:00:00	1100.0	0.5	
20	2018-01-01 20:00:00	1100.0	0.5	
21	2018-01-01 21:00:00	1100.0	0.5	
22	2018-01-01 22:00:00	1100.0	0.5	
23	2018-01-01 23:00:00	1100.0	0.5	
24	2018-01-02 00:00:00	1100.0	0.5	
25	2018-01-02 01:00:00	1100.0	0.5	
26	2018-01-02 02:00:00	1100.0	0.5	
27	2018-01-02 03:00:00	1100.0	0.5	
28	2018-01-02 04:00:00	1100.0	0.5	
29	2018-01-02 05:00:00	1100.0	0.5	
30	2018-01-02 06:00:00	1100.0	0.5	
31	2018-01-02 07:00:00	1100.0	0.5	
32	2018-01-02 08:00:00	1100.0	0.5	
33	2018-01-02 09:00:00	1100.0	0.5	
34	2018-01-02 10:00:00	1100.0	0.5	
35	2018-01-02 11:00:00	1100.0	0.5	
36	2018-01-02 12:00:00	1100.0	0.5	
37	2018-01-02 13:00:00	1100.0	0.5	
38	2018-01-02 14:00:00	1100.0	0.5	
39	2018-01-02 15:00:00	1100.0	0.5	
40	2018-01-02 16:00:00	1100.0	0.5	
41	2018-01-02 17:00:00	1100.0	0.5	
42	2018-01-02 18:00:00	1100.0	0.5	
43	2018-01-02 19:00:00	1100.0	0.5	
44	2018-01-02 20:00:00	1100.0	0.5	
45	2018-01-02 21:00:00	1100.0	0.5	
46	2018-01-02 22:00:00	1100.0	0.5	
47	2018-01-02 23:00:00	1100.0	0.5	
48	2018-01-03 00:00:00	1100.0	0.5	
49	2018-01-03 01:00:00	1100.0	0.5	
50	2018-01-03 02:00:00	1100.0	0.5	
51	2018-01-03 03:00:00	1100.0	0.5	
52	2018-01-03 04:00:00	1100.0	0.5	
53	2018-01-03 05:00:00	1100.0	0.5	
54	2018-01-03 06:00:00	1100.0	0.5	
55	2018-01-03 07:00:00	1100.0	0.5	
56	2018-01-03 08:00:00	1100.0	0.5	
57	2018-01-03 09:00:00	1100.0	0.5	
58	2018-01-03 10:00:00	1100.0	0.5	
59	2018-01-03 11:00:00	1100.0	0.5	
60	2018-01-03 12:00:00	1100.0	0.5	
61	2018-01-03 13:00:00	1100.0	0.5	
62	2018-01-03 14:00:00	1100.0	0.5	
63	2018-01-03 15:00:00	1100.0	0.5	
64	2018-01-03 16:00:00	1100.0	0.5	
65	2018-01-03 17:00:00	1100.0	0.5	
66	2018-01-03 18:00:00	1100.0	0.5	
67	2018-01-03 19:00:00	1100.0	0.5	
68	2018-01-03 20:00:00	1100.0	0.5	
69	2018-01-03 21:00:00	1100.0	0.5	
70	2018-01-03 22:00:00	1100.0	0.5	
71	2018-01-03 23:00:00	1100.0	0.5	
72	2018-01-04 00:00:00	1100.0	0.5	
73	2018-01-04 01:00:00	1100.0	0.5	
74	2018-01-04 02:00:00	1100.0	0.5	
75	2018-01-04 03:00:00	1100.0	0.5	
76	2018-01-04 04:00:00	1100.0	0.5	
77	2018-01-04 05:00:00	1100.0	0.5	
78	2018-01-04 06:00:00	1100.0	0.5	
79	2018-01-04 07:00:00	1100.0	0.5	
80	2018-01-04 08:00:00	1100.0	0.5	
81	2018-01-04 09:00:00	1100.0	0.5	
82	2018-01-04 10:00:00	1100.0	0.5	
83	2018-01-04 11:00:00	1100.0	0.5	
