simulation_time	physical_time	DHN_producer.LTH.energy_bought	DHN_producer.LTH.energy_sold	DHN_producer.LTH.energy_erased	DHN_producer.LTH.energy_imbalance	DHN_producer.money_spent	DHN_producer.money_earned	
0	2018-01-01 00:00:00	26.0	26.0	1287.0	0.0	15.6	11.7	
1	2018-01-01 01:00:00	39.310255148795804	39.310255148795804	1280.344872425602	0.0	23.58615308927748	17.689614816958112	
2	2018-01-01 02:00:00	2599.0	2599.0	200820.50135653137	0.0	1559.4	1169.5500000000002	
3	2018-01-01 03:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
4	2018-01-01 04:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
5	2018-01-01 05:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
6	2018-01-01 06:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
7	2018-01-01 07:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
8	2018-01-01 08:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
9	2018-01-01 09:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
10	2018-01-01 10:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
11	2018-01-01 11:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
12	2018-01-01 12:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
13	2018-01-01 13:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
14	2018-01-01 14:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
15	2018-01-01 15:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
16	2018-01-01 16:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
17	2018-01-01 17:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
18	2018-01-01 18:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
19	2018-01-01 19:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
20	2018-01-01 20:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
21	2018-01-01 21:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
22	2018-01-01 22:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
23	2018-01-01 23:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
24	2018-01-02 00:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
25	2018-01-02 01:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
26	2018-01-02 02:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
27	2018-01-02 03:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
28	2018-01-02 04:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
29	2018-01-02 05:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
30	2018-01-02 06:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
31	2018-01-02 07:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
32	2018-01-02 08:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
33	2018-01-02 09:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
34	2018-01-02 10:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
35	2018-01-02 11:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
36	2018-01-02 12:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
37	2018-01-02 13:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
38	2018-01-02 14:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
39	2018-01-02 15:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
40	2018-01-02 16:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
41	2018-01-02 17:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
42	2018-01-02 18:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
43	2018-01-02 19:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
44	2018-01-02 20:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
45	2018-01-02 21:00:00	2599.0	2599.0	1.0	0.0	1559.4	1169.5500000000002	
