simulation_time	physical_time	heat_sink.energy	heat_sink.money	biomass_plant.energy	biomass_plant.money	
0	2018-01-01 00:00:00	13.0	0.5	-13.0	0.2	
1	2018-01-01 01:00:00	19.655127574397902	0.5	-19.655127574397902	0.2	
2	2018-01-01 02:00:00	1299.5	0.5	-1299.5	0.2	
3	2018-01-01 03:00:00	1299.5	0.5	-1299.5	0.2	
4	2018-01-01 04:00:00	1299.5	0.5	-1299.5	0.2	
5	2018-01-01 05:00:00	1299.5	0.5	-1299.5	0.2	
6	2018-01-01 06:00:00	1299.5	0.5	-1299.5	0.2	
7	2018-01-01 07:00:00	1299.5	0.5	-1299.5	0.2	
8	2018-01-01 08:00:00	1299.5	0.5	-1299.5	0.2	
9	2018-01-01 09:00:00	1299.5	0.5	-1299.5	0.2	
10	2018-01-01 10:00:00	1299.5	0.5	-1299.5	0.2	
11	2018-01-01 11:00:00	1299.5	0.5	-1299.5	0.2	
12	2018-01-01 12:00:00	1299.5	0.5	-1299.5	0.2	
13	2018-01-01 13:00:00	1299.5	0.5	-1299.5	0.2	
14	2018-01-01 14:00:00	1299.5	0.5	-1299.5	0.2	
15	2018-01-01 15:00:00	1299.5	0.5	-1299.5	0.2	
16	2018-01-01 16:00:00	1299.5	0.5	-1299.5	0.2	
17	2018-01-01 17:00:00	1299.5	0.5	-1299.5	0.2	
18	2018-01-01 18:00:00	1299.5	0.5	-1299.5	0.2	
19	2018-01-01 19:00:00	1299.5	0.5	-1299.5	0.2	
20	2018-01-01 20:00:00	1299.5	0.5	-1299.5	0.2	
21	2018-01-01 21:00:00	1299.5	0.5	-1299.5	0.2	
22	2018-01-01 22:00:00	1299.5	0.5	-1299.5	0.2	
23	2018-01-01 23:00:00	1299.5	0.5	-1299.5	0.2	
24	2018-01-02 00:00:00	1299.5	0.5	-1299.5	0.2	
25	2018-01-02 01:00:00	1299.5	0.5	-1299.5	0.2	
26	2018-01-02 02:00:00	1299.5	0.5	-1299.5	0.2	
27	2018-01-02 03:00:00	1299.5	0.5	-1299.5	0.2	
28	2018-01-02 04:00:00	1299.5	0.5	-1299.5	0.2	
29	2018-01-02 05:00:00	1299.5	0.5	-1299.5	0.2	
30	2018-01-02 06:00:00	1299.5	0.5	-1299.5	0.2	
31	2018-01-02 07:00:00	1299.5	0.5	-1299.5	0.2	
32	2018-01-02 08:00:00	1299.5	0.5	-1299.5	0.2	
33	2018-01-02 09:00:00	1299.5	0.5	-1299.5	0.2	
34	2018-01-02 10:00:00	1299.5	0.5	-1299.5	0.2	
35	2018-01-02 11:00:00	1299.5	0.5	-1299.5	0.2	
36	2018-01-02 12:00:00	1299.5	0.5	-1299.5	0.2	
37	2018-01-02 13:00:00	1299.5	0.5	-1299.5	0.2	
38	2018-01-02 14:00:00	1299.5	0.5	-1299.5	0.2	
39	2018-01-02 15:00:00	1299.5	0.5	-1299.5	0.2	
40	2018-01-02 16:00:00	1299.5	0.5	-1299.5	0.2	
41	2018-01-02 17:00:00	1299.5	0.5	-1299.5	0.2	
42	2018-01-02 18:00:00	1299.5	0.5	-1299.5	0.2	
43	2018-01-02 19:00:00	1299.5	0.5	-1299.5	0.2	
44	2018-01-02 20:00:00	1299.5	0.5	-1299.5	0.2	
45	2018-01-02 21:00:00	1299.5	0.5	-1299.5	0.2	
46	2018-01-02 22:00:00	1299.5	0.5	-1299.5	0.2	
47	2018-01-02 23:00:00	1299.5	0.5	-1299.5	0.2	
48	2018-01-03 00:00:00	1299.5	0.5	-1299.5	0.2	
49	2018-01-03 01:00:00	1299.5	0.5	-1299.5	0.2	
50	2018-01-03 02:00:00	1299.5	0.5	-1299.5	0.2	
51	2018-01-03 03:00:00	1299.5	0.5	-1299.5	0.2	
52	2018-01-03 04:00:00	1299.5	0.5	-1299.5	0.2	
53	2018-01-03 05:00:00	1299.5	0.5	-1299.5	0.2	
54	2018-01-03 06:00:00	1299.5	0.5	-1299.5	0.2	
55	2018-01-03 07:00:00	1299.5	0.5	-1299.5	0.2	
56	2018-01-03 08:00:00	1299.5	0.5	-1299.5	0.2	
57	2018-01-03 09:00:00	1299.5	0.5	-1299.5	0.2	
58	2018-01-03 10:00:00	1299.5	0.5	-1299.5	0.2	
59	2018-01-03 11:00:00	1299.5	0.5	-1299.5	0.2	
60	2018-01-03 12:00:00	1299.5	0.5	-1299.5	0.2	
