simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
0	2018-01-01 00:00:00	13.0	13.0	1287.0	6.5	2.6	
1	2018-01-01 01:00:00	19.655127574397902	19.655127574397902	1280.344872425602	9.827563787198951	3.9310255148795807	
2	2018-01-01 02:00:00	1299.5	1299.5	200820.50135653137	649.75	259.90000000000003	
3	2018-01-01 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
4	2018-01-01 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
5	2018-01-01 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
6	2018-01-01 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
7	2018-01-01 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
8	2018-01-01 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
9	2018-01-01 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
10	2018-01-01 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
11	2018-01-01 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
12	2018-01-01 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
13	2018-01-01 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
14	2018-01-01 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
15	2018-01-01 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
16	2018-01-01 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
17	2018-01-01 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
18	2018-01-01 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
19	2018-01-01 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
20	2018-01-01 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
21	2018-01-01 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
22	2018-01-01 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
23	2018-01-01 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
24	2018-01-02 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
25	2018-01-02 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
26	2018-01-02 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
27	2018-01-02 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
28	2018-01-02 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
29	2018-01-02 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
30	2018-01-02 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
31	2018-01-02 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
32	2018-01-02 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
33	2018-01-02 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
34	2018-01-02 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
35	2018-01-02 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
36	2018-01-02 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
37	2018-01-02 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
38	2018-01-02 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
39	2018-01-02 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
40	2018-01-02 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
