simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
0	2018-01-01 00:00:00	2201.9638309176335	2201.9638309176335	15.618084541183123	0.0	753.4441390944748	753.4441390944748	
1	2018-01-01 01:00:00	2223.035255136941	2223.035255136941	5.082372431529421	0.0	760.6541308561444	760.6541308561444	
2	2018-01-01 02:00:00	2275.7138156852097	2275.7138156852097	95.34309215739509	0.0	773.8615731851902	773.8615731851902	
3	2018-01-01 03:00:00	2254.6423914659017	2254.6423914659017	339.0788042670491	0.0	759.4274294954937	759.4274294954937	
4	2018-01-01 04:00:00	2149.2852703693643	2149.2852703693643	1091.3573648153179	0.0	712.1050382088097	712.1050382088097	
5	2018-01-01 05:00:00	2201.9638309176335	2201.9638309176335	1065.0180845411833	0.0	729.5585930668688	729.5585930668688	
6	2018-01-01 06:00:00	2504.7152074863097	2504.7152074863097	913.6423962568452	0.0	837.423977207283	837.423977207283	
7	2018-01-01 07:00:00	2515.2509195959638	2515.2509195959638	908.374540202018	0.0	840.9146881788951	840.9146881788951	
8	2018-01-01 08:00:00	2949.9993907030494	2949.9993907030494	691.0003046484752	0.0	977.3990720513075	977.3990720513075	
9	2018-01-01 09:00:00	2615.640877805412	2615.640877805412	858.179561097294	0.0	859.0615549960579	859.0615549960579	
10	2018-01-01 10:00:00	2383.855211393029	2383.855211393029	974.0723943034855	0.0	782.265913620598	782.265913620598	
11	2018-01-01 11:00:00	2257.426666077184	2257.426666077184	1037.286666961408	0.0	740.3773819612561	740.3773819612561	
12	2018-01-01 12:00:00	2130.998120761339	2130.998120761339	1100.5009396193304	0.0	927.5721155714031	927.5721155714031	
13	2018-01-01 13:00:00	1994.0338633358406	1994.0338633358406	1168.9830683320797	0.0	868.6834597366492	868.6834597366492	
14	2018-01-01 14:00:00	1941.3553027875719	1941.3553027875719	1195.3223486062138	0.0	846.0339767232824	846.0339767232824	
15	2018-01-01 15:00:00	1930.8195906779179	1930.8195906779179	1200.590204661041	0.0	841.5040801206088	841.5040801206088	
16	2018-01-01 16:00:00	2046.7124238841093	2046.7124238841093	1142.6437880579454	0.0	891.3329427500161	891.3329427500161	
