simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
0	2018-01-01 00:00:00	1100.9819154588167	0	1100.981915458817	0	0.0	15.618084541182952	269.4970241207271	0	483.9471149737477	0	
1	2018-01-01 01:00:00	1111.5176275684705	0	1111.5176275684705	0	0.0	5.082372431529393	272.0759430118345	0	488.5781878443099	0	
2	2018-01-01 02:00:00	1137.8569078426049	0	1137.8569078426049	0	0.0	95.34309215739518	273.7057031644748	0	500.1558700207154	0	
3	2018-01-01 03:00:00	1127.3211957329509	0	1127.3211957329509	0	0.0	339.07880426704924	263.9026323453406	0	495.5247971501531	0	
4	2018-01-01 04:00:00	1074.6426351846821	0	1074.6426351846821	0	0.0	1091.3573648153179	239.73560541146742	0	472.36943279734226	0	
5	2018-01-01 05:00:00	1100.9819154588167	0	1100.9819154588167	0	0.0	1065.0180845411833	245.6114780931211	0	483.9471149737477	0	
6	2018-01-01 06:00:00	1252.3576037431549	0	1252.3576037431549	0	0.0	913.6423962568451	279.3809760520279	0	558.0430011552551	0	
7	2018-01-01 07:00:00	1257.6254597979819	0	1257.6254597979819	0	0.0	908.3745402020181	280.5561505883587	0	560.3585375905363	0	
8	2018-01-01 08:00:00	1474.9996953515247	0	1474.9996953515247	0	0.0	691.0003046484753	329.0488701726024	0	648.3502018787051	0	
9	2018-01-01 09:00:00	1307.820438902706	0	1307.820438902706	0	0.0	858.179561097294	291.7538486047034	0	567.3077063913545	0	
10	2018-01-01 10:00:00	1191.9276056965145	0	1191.9276056965145	0	0.0	974.0723943034855	265.90000880542743	0	516.3659048151706	0	
