simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
0	2018-01-01 00:00:00	1100.9819154588167	1100.981915458817	15.618084541183123	483.9471149737477	269.4970241207271	
1	2018-01-01 01:00:00	1111.5176275684705	1111.5176275684705	5.082372431529421	488.5781878443099	272.0759430118345	
2	2018-01-01 02:00:00	1137.8569078426049	1137.8569078426049	95.34309215739509	500.1558700207154	273.7057031644748	
3	2018-01-01 03:00:00	1127.3211957329509	1127.3211957329509	339.0788042670491	495.5247971501531	263.9026323453406	
4	2018-01-01 04:00:00	1074.6426351846821	1074.6426351846821	1091.3573648153179	472.36943279734226	239.73560541146742	
5	2018-01-01 05:00:00	1100.9819154588167	1100.9819154588167	1065.0180845411833	483.9471149737477	245.6114780931211	
6	2018-01-01 06:00:00	1252.3576037431549	1252.3576037431549	913.6423962568452	558.0430011552551	279.3809760520279	
7	2018-01-01 07:00:00	1257.6254597979819	1257.6254597979819	908.374540202018	560.3585375905363	280.5561505883587	
8	2018-01-01 08:00:00	1474.9996953515247	1474.9996953515247	691.0003046484752	648.3502018787051	329.0488701726024	
9	2018-01-01 09:00:00	1307.820438902706	1307.820438902706	858.179561097294	567.3077063913545	291.7538486047034	
10	2018-01-01 10:00:00	1191.9276056965145	1191.9276056965145	974.0723943034855	516.3659048151706	265.90000880542743	
11	2018-01-01 11:00:00	1128.713333038592	1128.713333038592	1037.286666961408	488.5794675917973	251.79791436945877	
12	2018-01-01 12:00:00	1065.4990603806696	1065.4990603806696	1100.5009396193304	640.6842799232006	286.88783564820244	
13	2018-01-01 13:00:00	997.0169316679203	997.0169316679203	1168.9830683320797	600.2345795202452	268.448880216404	
14	2018-01-01 14:00:00	970.6776513937859	970.6776513937859	1195.3223486062138	584.6770024421854	261.356974281097	
15	2018-01-01 15:00:00	965.4097953389589	965.4097953389589	1200.590204661041	581.5654870265734	259.93859309403547	
16	2018-01-01 16:00:00	1023.3562119420546	1023.3562119420546	1142.6437880579454	615.7921565983049	275.54078615171113	
17	2018-01-01 17:00:00	1269.5533092132769	1269.5533092132769	896.4466907867231	749.875215162482	341.8298660818019	
18	2018-01-01 18:00:00	1210.2147553045402	1210.2147553045402	955.7852446954599	703.4903796211655	325.85283716233045	
19	2018-01-01 19:00:00	1341.911156675212	1341.9111566752117	824.0888433247882	781.2782650114643	361.3123668388659	
20	2018-01-01 20:00:00	1426.1968535524418	1426.1968535524418	739.8031464475582	831.0625116612557	384.0064658318486	
21	2018-01-01 21:00:00	1526.2861185941524	1526.2861185941524	639.7138814058476	890.1813045578829	410.95570838601554	
22	2018-01-01 22:00:00	1631.64323969069	1631.64323969069	534.35676030931	952.4116128701221	439.323332127244	
23	2018-01-01 23:00:00	1554.017536173928	1554.017536173928	611.982463826072	917.8970476055277	418.42245018311854	
24	2018-01-02 00:00:00	1633.0353769963308	1633.0353769963308	532.9646230036691	717.8162949371377	364.3041062625241	
25	2018-01-02 01:00:00	1690.9817935994265	1690.9817935994265	475.0182064005735	743.2871957252298	377.23102616216204	
26	2018-01-02 02:00:00	1664.6425133252924	1664.6425133252924	501.3574866747075	731.7095135488244	371.3551534805085	
27	2018-01-02 03:00:00	1569.8211043384085	1569.8211043384085	596.1788956615916	690.0298577137647	350.20201182655535	
28	2018-01-02 04:00:00	1543.4818240642742	1543.4818240642744	622.5181759357257	678.4521755373593	344.32613914490184	
29	2018-01-02 05:00:00	1548.749680119101	1548.749680119101	617.250319880899	680.7677119726403	345.50131368123255	
30	2018-01-02 06:00:00	1673.786088129305	1673.786088129305	492.21391187069503	743.2859159777422	373.3949389584858	
31	2018-01-02 07:00:00	1737.0003607872275	1737.0003607872272	428.99963921277265	771.0723532011154	387.49703339445443	
32	2018-01-02 08:00:00	1970.1781645052508	1970.1781645052506	195.82183549474928	866.0106267951275	439.5152765876903	
33	2018-01-02 09:00:00	1755.5882035629902	1755.5882035629902	410.4117964370099	764.1283033902471	391.6436841928148	
34	2018-01-02 10:00:00	1439.5168402733775	1439.5168402733775	726.4831597266225	625.1961172733816	321.1332120129714	
35	2018-01-02 11:00:00	1155.0526133127264	1155.0526133127264	1010.9473866872736	500.15714976820277	257.6737870511124	
36	2018-01-02 12:00:00	1049.695492216189	1049.695492216189	1116.304507783811	631.3497336763647	282.6326920870182	
37	2018-01-02 13:00:00	960.1419392841321	960.1419392841321	1205.8580607158679	578.4539716109615	258.52021190697405	
38	2018-01-02 14:00:00	902.1955226810364	902.1955226810364	1263.8044773189636	544.2273020392299	242.91801884929845	
39	2018-01-02 15:00:00	881.1240984617291	881.1240984617291	1284.875901538271	531.7812403767821	237.2444941010528	
40	2018-01-02 16:00:00	881.1240984617291	881.1240984617291	1284.875901538271	531.7812403767821	237.2444941010528	
41	2018-01-02 17:00:00	1021.9640746364134	1021.9640746364134	1144.0359253635866	603.6339906287199	275.1659502899152	
42	2018-01-02 18:00:00	841.4648314666589	841.4648314666589	1324.5351685333412	485.6843005283283	226.56615406803115	
43	2018-01-02 19:00:00	830.929119357005	830.929119357005	1335.0708806429948	479.46126969710434	223.7293916939083	
44	2018-01-02 20:00:00	836.196975411832	836.196975411832	1329.803024588168	482.57278511271636	225.1477728809697	
45	2018-01-02 21:00:00	825.6612633021782	825.6612633021782	1340.3387366978218	476.34975428149244	222.31101050684688	
46	2018-01-02 22:00:00	799.3219830280439	799.3219830280439	1366.6780169719564	460.7921772034327	215.21910457153976	
47	2018-01-02 23:00:00	684.8212871274936	684.8212871274936	1481.1787128725064	404.49700402955466	184.38955431798442	
48	2018-01-03 00:00:00	690.0891431823206	690.0891431823206	1475.9108568176794	303.3352730218228	153.94786425932472	
49	2018-01-03 01:00:00	669.0177189630131	669.0177189630131	1496.982281036987	294.0731272806984	149.24716611400183	
50	2018-01-03 02:00:00	653.2141507985323	653.2141507985323	1512.7858492014675	287.1265179748551	145.7216425050096	
51	2018-01-03 03:00:00	658.4820068533593	658.4820068533593	1507.5179931466407	289.4420544101362	146.89681704134034	
52	2018-01-03 04:00:00	663.7498629081862	663.7498629081862	1502.250137091814	291.7575908454173	148.0719915776711	
53	2018-01-03 05:00:00	690.0891431823206	690.0891431823206	1475.9108568176794	303.3352730218228	153.94786425932472	
54	2018-01-03 06:00:00	857.2683996311393	857.2683996311393	1308.7316003688607	384.3777685091734	191.2428858272237	
55	2018-01-03 07:00:00	857.2683996311393	857.2683996311393	1308.7316003688607	384.3777685091734	191.2428858272237	
56	2018-01-03 08:00:00	1032.4997867460675	1032.4997867460675	1133.5002132539325	453.8451413150936	230.3342091208217	
57	2018-01-03 09:00:00	902.1955226810364	902.1955226810364	1263.8044773189636	389.0114008747105	201.2654093072377	
58	2018-01-03 10:00:00	865.3205302972485	865.3205302972485	1300.6794697027517	372.80264582774294	193.03918755292267	
59	2018-01-03 11:00:00	823.1776818586335	823.1776818586336	1342.8223181413664	354.27835434549417	183.6377912622769	
60	2018-01-03 12:00:00	775.7669773651917	775.7669773651917	1390.2330226348083	469.550932064543	208.87687035982447	
61	2018-01-03 13:00:00	749.4276970910573	749.4276970910573	1416.5723029089427	453.9933549864832	201.78496442451734	
62	2018-01-03 14:00:00	749.4276970910573	749.4276970910573	1416.5723029089427	453.9933549864832	201.78496442451734	
63	2018-01-03 15:00:00	723.088416816923	723.088416816923	1442.9115831830768	438.43577790842346	194.6930584892103	
64	2018-01-03 16:00:00	717.820560762096	717.820560762096	1448.179439237904	435.3242624928114	193.2746773021488	
65	2018-01-03 17:00:00	874.4641051012612	874.4641051012611	1291.535894898739	516.5115589915852	235.4512770521955	
66	2018-01-03 18:00:00	725.5719982604676	725.5719982604676	1440.4280017395324	417.23096138486517	195.3617679526799	
67	2018-01-03 19:00:00	767.7148466990825	767.7148466990825	1398.2851533009175	442.12308470976086	206.70881744917125	
68	2018-01-03 20:00:00	788.7862709183901	788.7862709183901	1377.21372908161	454.56914637220876	212.38234219741696	
69	2018-01-03 21:00:00	788.7862709183901	788.7862709183901	1377.21372908161	454.56914637220876	212.38234219741696	
70	2018-01-03 22:00:00	794.0541269732169	794.0541269732169	1371.9458730267831	457.68066178782067	213.80072338447835	
71	2018-01-03 23:00:00	684.8212871274936	684.8212871274936	1481.1787128725064	404.49700402955466	184.38955431798442	
72	2018-01-04 00:00:00	711.160567401628	711.160567401628	1454.8394325983722	312.5974187629471	158.64856240464758	
73	2018-01-04 01:00:00	742.7677037305893	742.7677037305893	1423.2322962694107	326.49063737463365	165.69960962263195	
74	2018-01-04 02:00:00	763.8391279498967	763.8391279498967	1402.1608720501033	335.752783115758	170.4003077679548	
75	2018-01-04 03:00:00	763.8391279498967	763.8391279498967	1402.1608720501033	335.752783115758	170.4003077679548	
76	2018-01-04 04:00:00	763.8391279498967	763.8391279498967	1402.1608720501033	335.752783115758	170.4003077679548	
77	2018-01-04 05:00:00	769.1069840047236	769.1069840047236	1396.8930159952765	338.06831955103905	171.57548230428552	
78	2018-01-04 06:00:00	899.4112480697544	899.4112480697545	1266.5887519302455	402.9020599914221	200.64428211786952	
79	2018-01-04 07:00:00	904.6791041245813	904.6791041245813	1261.3208958754185	405.21759642670327	201.81945665420022	
80	2018-01-04 08:00:00	1095.7140594039897	1095.7140594039897	1070.2859405960103	481.63157853846667	244.4363035567903	
