simulation_time	physical_time	Waste_to_heat.LTH.energy	Waste_to_heat.LTH.money	space_heating.LTH.energy	space_heating.LTH.money	
0	2021-01-01 00:00:00	-12500	0.04	7526.2400925763595	0.08	
1	2021-01-01 01:00:00	-12500	0.04	7597.918569648516	0.08	
2	2021-01-01 02:00:00	-12500	0.04	7239.526184287736	0.08	
3	2021-01-01 03:00:00	-12500	0.04	5304.207303339528	0.08	
4	2021-01-01 04:00:00	-12500	0.04	3583.92385360779	0.08	
5	2021-01-01 05:00:00	-12500	0.04	3583.92385360779	0.08	
6	2021-01-01 06:00:00	-12500	0.04	6883.171927466476	0.08	
7	2021-01-01 07:00:00	-12500	0.04	7098.207358682943	0.08	
8	2021-01-01 08:00:00	-12500	0.04	8529.73877158654	0.08	
9	2021-01-01 09:00:00	-12500	0.04	5445.526128944322	0.08	
10	2021-01-01 10:00:00	-12500	0.04	5302.169174800012	0.08	
11	2021-01-01 11:00:00	-12500	0.04	4943.776789439233	0.08	
12	2021-01-01 12:00:00	-12500	0.04	4298.670495789831	0.08	
13	2021-01-01 13:00:00	-12500	0.04	3868.5996333568955	0.08	
14	2021-01-01 14:00:00	-12500	0.04	4155.31354164552	0.08	
15	2021-01-01 15:00:00	-12500	0.04	4585.384404078453	0.08	
16	2021-01-01 16:00:00	-12500	0.04	4800.4198352949215	0.08	
17	2021-01-01 17:00:00	-12500	0.04	8027.989432081449	0.08	
18	2021-01-01 18:00:00	-12500	0.04	6739.814973322164	0.08	
19	2021-01-01 19:00:00	-12500	0.04	6883.171927466476	0.08	
20	2021-01-01 20:00:00	-12500	0.04	7169.885835755098	0.08	
21	2021-01-01 21:00:00	-12500	0.04	7169.885835755098	0.08	
22	2021-01-01 22:00:00	-12500	0.04	7026.528881610785	0.08	
23	2021-01-01 23:00:00	-12500	0.04	4013.9947160407264	0.08	
24	2021-01-02 00:00:00	-12500	0.04	4229.030147257192	0.08	
25	2021-01-02 01:00:00	-12500	0.04	4229.030147257192	0.08	
26	2021-01-02 02:00:00	-12500	0.04	4157.351670185037	0.08	
27	2021-01-02 03:00:00	-12500	0.04	4085.6731931128807	0.08	
28	2021-01-02 04:00:00	-12500	0.04	3942.316238968569	0.08	
29	2021-01-02 05:00:00	-12500	0.04	3798.959284824258	0.08	
30	2021-01-02 06:00:00	-12500	0.04	6596.4580191778505	0.08	
31	2021-01-02 07:00:00	-12500	0.04	6166.387156744917	0.08	
32	2021-01-02 08:00:00	-12500	0.04	7311.204661359891	0.08	
33	2021-01-02 09:00:00	-12500	0.04	4298.670495789831	0.08	
34	2021-01-02 10:00:00	-12500	0.04	4155.31354164552	0.08	
35	2021-01-02 11:00:00	-12500	0.04	3940.2781104290525	0.08	
36	2021-01-02 12:00:00	-12500	0.04	3725.2426792125843	0.08	
37	2021-01-02 13:00:00	-12500	0.04	3510.2072479961166	0.08	
38	2021-01-02 14:00:00	-12500	0.04	3151.8148626353377	0.08	
39	2021-01-02 15:00:00	-12500	0.04	3653.5642021404274	0.08	
40	2021-01-02 16:00:00	-12500	0.04	4657.06288115061	0.08	
41	2021-01-02 17:00:00	-12500	0.04	8458.060294514387	0.08	
42	2021-01-02 18:00:00	-12500	0.04	7671.635175260188	0.08	
43	2021-01-02 19:00:00	-12500	0.04	7456.599744043722	0.08	
44	2021-01-02 20:00:00	-12500	0.04	7886.670606476656	0.08	
45	2021-01-02 21:00:00	-12500	0.04	8316.741468909591	0.08	
46	2021-01-02 22:00:00	-12500	0.04	8245.062991837434	0.08	
47	2021-01-02 23:00:00	-12500	0.04	5519.242734555995	0.08	
48	2021-01-03 00:00:00	-12500	0.04	6236.027505277554	0.08	
49	2021-01-03 01:00:00	-12500	0.04	6594.4198906383335	0.08	
50	2021-01-03 02:00:00	-12500	0.04	6451.062936494022	0.08	
51	2021-01-03 03:00:00	-12500	0.04	6164.3490282054	0.08	
52	2021-01-03 04:00:00	-12500	0.04	5662.5996887003075	0.08	
53	2021-01-03 05:00:00	-12500	0.04	5375.885780411685	0.08	
54	2021-01-03 06:00:00	-12500	0.04	8460.098423053902	0.08	
55	2021-01-03 07:00:00	-12500	0.04	8101.706037693124	0.08	
56	2021-01-03 08:00:00	-12500	0.04	8386.381817442229	0.08	
57	2021-01-03 09:00:00	-12500	0.04	4370.348972861986	0.08	
58	2021-01-03 10:00:00	-12500	0.04	3796.9211562847413	0.08	
59	2021-01-03 11:00:00	-12500	0.04	3438.5287709239624	0.08	
60	2021-01-03 12:00:00	-12500	0.04	3366.850293851805	0.08	
61	2021-01-03 13:00:00	-12500	0.04	3295.1718167796485	0.08	
62	2021-01-03 14:00:00	-12500	0.04	3510.2072479961166	0.08	
63	2021-01-03 15:00:00	-12500	0.04	4585.384404078453	0.08	
64	2021-01-03 16:00:00	-12500	0.04	5660.561560160791	0.08	
65	2021-01-03 17:00:00	-12500	0.04	9533.237450596722	0.08	
66	2021-01-03 18:00:00	-12500	0.04	8675.13385427037	0.08	
67	2021-01-03 19:00:00	-12500	0.04	8675.13385427037	0.08	
68	2021-01-03 20:00:00	-12500	0.04	8316.741468909591	0.08	
69	2021-01-03 21:00:00	-12500	0.04	7313.242789899408	0.08	
70	2021-01-03 22:00:00	-12500	0.04	6668.1364962500065	0.08	
71	2021-01-03 23:00:00	-12500	0.04	3512.245376535633	0.08	
72	2021-01-04 00:00:00	-12500	0.04	3297.2099453191677	0.08	
73	2021-01-04 01:00:00	-12500	0.04	2938.8175599583888	0.08	
74	2021-01-04 02:00:00	-12500	0.04	2795.4606058140753	0.08	
75	2021-01-04 03:00:00	-12500	0.04	2723.782128741921	0.08	
76	2021-01-04 04:00:00	-12500	0.04	2580.42517459761	0.08	
77	2021-01-04 05:00:00	-12500	0.04	2652.103651669764	0.08	
78	2021-01-04 06:00:00	-12500	0.04	5807.9947713841375	0.08	
79	2021-01-04 07:00:00	-12500	0.04	5879.673248456293	0.08	
80	2021-01-04 08:00:00	-12500	0.04	7167.84770721558	0.08	
81	2021-01-04 09:00:00	-12500	0.04	4155.31354164552	0.08	
