simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
0	2021-01-01 00:00:00	0	0	0	0	-5.1901573664351375	0.06	-5.1901573664351375	0.06	19449.40220580824	0.2	
1	2021-01-01 01:00:00	0	0	0	0	-6.945848339768424	0.06	-6.945848339768424	0.06	18974.5946470473	0.2	
2	2021-01-01 02:00:00	0	0	0	0	-8.935401779749157	0.06	-8.935401779749157	0.06	17686.577647444778	0.2	
3	2021-01-01 03:00:00	0	0	0	0	-10.883530165201012	0.06	-10.883530165201012	0.06	16274.25808495562	0.2	
4	2021-01-01 04:00:00	0	0	0	0	-13.367229471246558	0.06	-13.367229471246558	0.06	14832.83273136418	0.2	
5	2021-01-01 05:00:00	0	0	0	0	-16.145969806543274	0.04	-16.145969806543274	0.04	13522.50658228896	0.18	
6	2021-01-01 06:00:00	0	0	0	0	-18.83845222414724	0.04	-18.83845222414724	0.04	14855.12172380028	0.18	
7	2021-01-01 07:00:00	0	0	0	0	-22.22577009924608	0.04	-22.22577009924608	0.04	17633.68742494124	0.18	
8	2021-01-01 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-11.48028077658397	0.04	-11.48028077658397	0.04	17799.64286782716	0.18	
9	2021-01-01 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-2.150958518909057	0.06	-2.150958518909057	0.06	13495.87854996422	0.2	
10	2021-01-01 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	0	0	11558.232258858561	0.2	
11	2021-01-01 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	0	0	9610.35831091784	0.2	
12	2021-01-01 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	0	0	8623.68769127288	0.2	
13	2021-01-01 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-1.1382151699446497	0.06	-1.1382151699446497	0.06	11795.675246664461	0.2	
14	2021-01-01 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-8.648247466760363	0.06	-8.648247466760363	0.06	13721.63616623856	0.2	
15	2021-01-01 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-12.045475372436773	0.06	-12.045475372436773	0.06	15412.47154700278	0.2	
16	2021-01-01 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-16.088291899793894	0.06	-16.088291899793894	0.06	19613.9555859299	0.2	
