simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	
0	2021-01-01 00:00:00	0	0	0	0	-5.1901573664351375	0.06	
1	2021-01-01 01:00:00	0	0	0	0	-6.945848339768424	0.06	
2	2021-01-01 02:00:00	0	0	0	0	-8.935401779749157	0.06	
3	2021-01-01 03:00:00	0	0	0	0	-10.883530165201012	0.06	
4	2021-01-01 04:00:00	0	0	0	0	-13.367229471246558	0.06	
5	2021-01-01 05:00:00	0	0	0	0	-16.145969806543274	0.04	
6	2021-01-01 06:00:00	0	0	0	0	-18.83845222414724	0.04	
7	2021-01-01 07:00:00	0	0	0	0	-22.22577009924608	0.04	
8	2021-01-01 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-11.48028077658397	0.04	
9	2021-01-01 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-2.150958518909057	0.06	
10	2021-01-01 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	
11	2021-01-01 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	
12	2021-01-01 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	
13	2021-01-01 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-1.1382151699446497	0.06	
14	2021-01-01 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-8.648247466760363	0.06	
15	2021-01-01 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-12.045475372436773	0.06	
16	2021-01-01 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-16.088291899793894	0.06	
17	2021-01-01 17:00:00	0	0	0	0	-20.846821900052866	0.04	
18	2021-01-01 18:00:00	0	0	0	0	-12.060825756213077	0.04	
19	2021-01-01 19:00:00	0	0	0	0	-5.81391909156273	0.04	
20	2021-01-01 20:00:00	0	0	0	0	-1.414524637537412	0.04	
21	2021-01-01 21:00:00	0	0	0	0	0	0	
22	2021-01-01 22:00:00	0	0	0	0	0	0	
23	2021-01-01 23:00:00	0	0	0	0	0	0	
24	2021-01-02 00:00:00	0	0	0	0	0	0	
25	2021-01-02 01:00:00	0	0	0	0	0	0	
26	2021-01-02 02:00:00	0	0	0	0	0	0	
27	2021-01-02 03:00:00	0	0	0	0	0	0	
28	2021-01-02 04:00:00	0	0	0	0	0	0	
29	2021-01-02 05:00:00	0	0	0	0	0	0	
30	2021-01-02 06:00:00	0	0	0	0	0	0	
31	2021-01-02 07:00:00	0	0	0	0	0	0	
32	2021-01-02 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	
33	2021-01-02 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	0	0	
