simulation_time	physical_time	flexible_loads.LVE.energy	flexible_loads.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
0	2021-01-01 00:00:00	0	0	11183.406268339737	0.2	
1	2021-01-01 01:00:00	0	0	10910.391922052198	0.2	
2	2021-01-01 02:00:00	0	0	10169.782147280748	0.2	
3	2021-01-01 03:00:00	0	0	9357.698398849481	0.2	
4	2021-01-01 04:00:00	0	0	8528.878820534404	0.2	
5	2021-01-01 05:00:00	0	0	7775.441284816152	0.18	
6	2021-01-01 06:00:00	0	0	8541.69499118516	0.18	
7	2021-01-01 07:00:00	0	0	10139.370269341212	0.18	
8	2021-01-01 08:00:00	0	0	10234.794649000616	0.18	
9	2021-01-01 09:00:00	0	0	7760.130166229426	0.2	
10	2021-01-01 10:00:00	0	0	6645.983548843672	0.2	
11	2021-01-01 11:00:00	0	0	5525.956028777759	0.2	
12	2021-01-01 12:00:00	0	0	4958.620422481906	0.2	
13	2021-01-01 13:00:00	0	0	6782.513266832065	0.2	
14	2021-01-01 14:00:00	0	0	7889.940795587172	0.2	
15	2021-01-01 15:00:00	0	0	8862.171139526597	0.2	
16	2021-01-01 16:00:00	0	0	11278.024461909694	0.2	
17	2021-01-01 17:00:00	0	0	12309.36915419708	0.18	
18	2021-01-01 18:00:00	0	0	13559.65468739931	0.18	
19	2021-01-01 19:00:00	0	0	16157.421654726826	0.18	
20	2021-01-01 20:00:00	0	0	18064.418300627258	0.18	
21	2021-01-01 21:00:00	0	0	17796.243430068746	0.2	
22	2021-01-01 22:00:00	0	0	16385.74970442405	0.2	
23	2021-01-01 23:00:00	1500	0.2	14341.709423431925	0.2	
24	2021-01-02 00:00:00	1500	0.2	11293.277808775463	0.2	
25	2021-01-02 01:00:00	1500	0.2	10851.189338042544	0.2	
26	2021-01-02 02:00:00	1500	0.2	10200.902573681593	0.2	
27	2021-01-02 03:00:00	1500	0.2	9341.709154409897	0.2	
28	2021-01-02 04:00:00	1500	0.2	8536.560500889087	0.2	
29	2021-01-02 05:00:00	1500	0.18	7771.696479439116	0.18	
30	2021-01-02 06:00:00	1500	0.18	8543.468439719116	0.18	
31	2021-01-02 07:00:00	1500	0.18	10138.649627672105	0.18	
32	2021-01-02 08:00:00	1500	0.18	10235.182078205906	0.18	
33	2021-01-02 09:00:00	1500	0.2	7760.008048776179	0.2	
34	2021-01-02 10:00:00	1500	0.2	6646.025691997627	0.2	
35	2021-01-02 11:00:00	1500	0.2	5525.944035721456	0.2	
36	2021-01-02 12:00:00	1500	0.2	4958.620422481837	0.2	
37	2021-01-02 13:00:00	1500	0.2	6782.513266832099	0.2	
38	2021-01-02 14:00:00	1500	0.2	7889.940795613772	0.2	
39	2021-01-02 15:00:00	1500	0.2	8862.171139511787	0.2	
40	2021-01-02 16:00:00	1500	0.2	11278.024461917938	0.2	
41	2021-01-02 17:00:00	1500	0.18	12309.369154192478	0.18	
42	2021-01-02 18:00:00	1500	0.18	13559.65468740184	0.18	
43	2021-01-02 19:00:00	1500	0.18	16157.421654725444	0.18	
44	2021-01-02 20:00:00	1500	0.18	18064.41830062795	0.18	
45	2021-01-02 21:00:00	1500	0.2	17796.243430068283	0.2	
46	2021-01-02 22:00:00	1500	0.2	16385.74970442428	0.2	
47	2021-01-02 23:00:00	1500	0.2	14341.70942343181	0.2	
48	2021-01-03 00:00:00	1500	0.2	11293.277808775532	0.2	
49	2021-01-03 01:00:00	1500	0.2	10851.189338042499	0.2	
50	2021-01-03 02:00:00	1500	0.2	10200.902573681615	0.2	
51	2021-01-03 03:00:00	1500	0.2	9341.709154409886	0.2	
52	2021-01-03 04:00:00	1500	0.2	8536.560500889087	0.2	
53	2021-01-03 05:00:00	1500	0.18	7771.696479439116	0.18	
54	2021-01-03 06:00:00	1500	0.18	8543.468439719116	0.18	
55	2021-01-03 07:00:00	1500	0.18	10138.649627672105	0.18	
56	2021-01-03 08:00:00	1500	0.18	10235.182078205906	0.18	
57	2021-01-03 09:00:00	1500	0.2	7760.008048776179	0.2	
58	2021-01-03 10:00:00	1500	0.2	6646.025691997627	0.2	
59	2021-01-03 11:00:00	1500	0.2	5525.944035721456	0.2	
60	2021-01-03 12:00:00	1500	0.2	4958.620422481837	0.2	
61	2021-01-03 13:00:00	1500	0.2	6782.513266832099	0.2	
62	2021-01-03 14:00:00	1500	0.2	7889.940795613772	0.2	
63	2021-01-03 15:00:00	1500	0.2	8862.171139511787	0.2	
64	2021-01-03 16:00:00	1500	0.2	11278.024461917938	0.2	
65	2021-01-03 17:00:00	1500	0.18	12309.369154192478	0.18	
66	2021-01-03 18:00:00	1500	0.18	13559.65468740184	0.18	
67	2021-01-03 19:00:00	1500	0.18	16157.421654725444	0.18	
68	2021-01-03 20:00:00	1500	0.18	18064.41830062795	0.18	
69	2021-01-03 21:00:00	1500	0.2	17796.243430068283	0.2	
70	2021-01-03 22:00:00	1500	0.2	16385.74970442428	0.2	
71	2021-01-03 23:00:00	1500	0.2	14341.70942343181	0.2	
72	2021-01-04 00:00:00	1500	0.2	11293.277808775532	0.2	
73	2021-01-04 01:00:00	1500	0.2	10851.189338042499	0.2	
74	2021-01-04 02:00:00	1500	0.2	10200.902573681615	0.2	
75	2021-01-04 03:00:00	1500	0.2	9341.709154409886	0.2	
76	2021-01-04 04:00:00	1500	0.2	8536.560500889087	0.2	
77	2021-01-04 05:00:00	1500	0.18	7771.696479439116	0.18	
78	2021-01-04 06:00:00	1500	0.18	8543.468439719116	0.18	
79	2021-01-04 07:00:00	1500	0.18	10138.649627672105	0.18	
80	2021-01-04 08:00:00	1500	0.18	10235.182078205906	0.18	
81	2021-01-04 09:00:00	1500	0.2	7760.008048776179	0.2	
82	2021-01-04 10:00:00	1500	0.2	6646.025691997627	0.2	
83	2021-01-04 11:00:00	1500	0.2	5525.944035721456	0.2	
84	2021-01-04 12:00:00	1500	0.2	4958.620422481837	0.2	
85	2021-01-04 13:00:00	1500	0.2	6782.513266832099	0.2	
86	2021-01-04 14:00:00	1500	0.2	7889.940795613772	0.2	
87	2021-01-04 15:00:00	1500	0.2	8862.171139511787	0.2	
88	2021-01-04 16:00:00	1500	0.2	11278.024461917938	0.2	
89	2021-01-04 17:00:00	1500	0.18	12309.369154192478	0.18	
90	2021-01-04 18:00:00	1500	0.18	13559.65468740184	0.18	
91	2021-01-04 19:00:00	1500	0.18	16157.421654725444	0.18	
92	2021-01-04 20:00:00	1500	0.18	18064.41830062795	0.18	
93	2021-01-04 21:00:00	1500	0.2	17796.243430068283	0.2	
94	2021-01-04 22:00:00	1500	0.2	16385.74970442428	0.2	
95	2021-01-04 23:00:00	1500	0.2	14341.70942343181	0.2	
96	2021-01-05 00:00:00	1500	0.2	11293.277808775532	0.2	
97	2021-01-05 01:00:00	1500	0.2	10851.189338042499	0.2	
98	2021-01-05 02:00:00	1500	0.2	10200.902573681615	0.2	
99	2021-01-05 03:00:00	1500	0.2	9341.709154409886	0.2	
100	2021-01-05 04:00:00	1500	0.2	8536.560500889087	0.2	
101	2021-01-05 05:00:00	1500	0.18	7771.696479439116	0.18	
102	2021-01-05 06:00:00	1500	0.18	8543.468439719116	0.18	
103	2021-01-05 07:00:00	1500	0.18	10138.649627672105	0.18	
104	2021-01-05 08:00:00	1500	0.18	10235.182078205906	0.18	
105	2021-01-05 09:00:00	1500	0.2	7760.008048776179	0.2	
106	2021-01-05 10:00:00	1500	0.2	6646.025691997627	0.2	
107	2021-01-05 11:00:00	1500	0.2	5525.944035721456	0.2	
108	2021-01-05 12:00:00	1500	0.2	4958.620422481837	0.2	
109	2021-01-05 13:00:00	1500	0.2	6782.513266832099	0.2	
110	2021-01-05 14:00:00	1500	0.2	7889.940795613772	0.2	
111	2021-01-05 15:00:00	1500	0.2	8862.171139511787	0.2	
112	2021-01-05 16:00:00	1500	0.2	11278.024461917938	0.2	
113	2021-01-05 17:00:00	1500	0.18	12309.369154192478	0.18	
114	2021-01-05 18:00:00	1500	0.18	13559.65468740184	0.18	
115	2021-01-05 19:00:00	1500	0.18	16157.421654725444	0.18	
116	2021-01-05 20:00:00	1500	0.18	18064.41830062795	0.18	
117	2021-01-05 21:00:00	1500	0.2	17796.243430068283	0.2	
118	2021-01-05 22:00:00	1500	0.2	16385.74970442428	0.2	
119	2021-01-05 23:00:00	1500	0.2	14341.70942343181	0.2	
120	2021-01-06 00:00:00	1500	0.2	10440.951475442203	0.2	
121	2021-01-06 01:00:00	1500	0.2	10925.58092137583	0.2	
122	2021-01-06 02:00:00	1500	0.2	10149.648990348285	0.2	
123	2021-01-06 03:00:00	1500	0.2	9399.103737743215	0.2	
124	2021-01-06 04:00:00	1500	0.2	8431.159167555757	0.2	
125	2021-01-06 05:00:00	1500	0.18	7723.524896105775	0.18	
126	2021-01-06 06:00:00	1500	0.18	7349.091856385786	0.18	
127	2021-01-06 07:00:00	1500	0.18	7035.545211005434	0.18	
128	2021-01-06 08:00:00	1500	0.18	7792.829328205905	0.18	
129	2021-01-06 09:00:00	1500	0.2	7216.48163210952	0.2	
130	2021-01-06 10:00:00	1500	0.2	7774.856108664297	0.2	
131	2021-01-06 11:00:00	1500	0.2	6413.172869054798	0.2	
132	2021-01-06 12:00:00	1500	0.2	6824.008589148508	0.2	
133	2021-01-06 13:00:00	1500	0.2	7039.369600165428	0.2	
134	2021-01-06 14:00:00	1500	0.2	7830.476212280442	0.2	
135	2021-01-06 15:00:00	1500	0.2	8980.324056178457	0.2	
136	2021-01-06 16:00:00	1500	0.2	12709.504211917914	0.2	
137	2021-01-06 17:00:00	1500	0.18	11516.037820859185	0.18	
138	2021-01-06 18:00:00	1500	0.18	12843.074354068545	0.18	
139	2021-01-06 19:00:00	1500	0.18	14398.08648805874	0.18	
140	2021-01-06 20:00:00	1500	0.18	16468.42338396136	0.18	
141	2021-01-06 21:00:00	1500	0.2	15960.573180068286	0.2	
142	2021-01-06 22:00:00	1500	0.2	14671.768621090985	0.2	
143	2021-01-06 23:00:00	1500	0.2	13507.139090098515	0.2	
144	2021-01-07 00:00:00	1500	0.2	10440.951475442203	0.2	
145	2021-01-07 01:00:00	1500	0.2	10925.58092137583	0.2	
146	2021-01-07 02:00:00	1500	0.2	10149.648990348285	0.2	
147	2021-01-07 03:00:00	1500	0.2	9399.103737743215	0.2	
148	2021-01-07 04:00:00	1500	0.2	8431.159167555757	0.2	
149	2021-01-07 05:00:00	1500	0.18	7723.524896105775	0.18	
150	2021-01-07 06:00:00	1500	0.18	7349.091856385786	0.18	
151	2021-01-07 07:00:00	1500	0.18	7035.545211005434	0.18	
152	2021-01-07 08:00:00	1500	0.18	7792.829328205905	0.18	
153	2021-01-07 09:00:00	1500	0.2	7216.48163210952	0.2	
154	2021-01-07 10:00:00	1500	0.2	7774.856108664297	0.2	
155	2021-01-07 11:00:00	1500	0.2	6413.172869054798	0.2	
156	2021-01-07 12:00:00	1500	0.2	6824.008589148508	0.2	
157	2021-01-07 13:00:00	1500	0.2	7039.369600165428	0.2	
158	2021-01-07 14:00:00	1500	0.2	7830.476212280442	0.2	
159	2021-01-07 15:00:00	1500	0.2	8980.324056178457	0.2	
160	2021-01-07 16:00:00	1500	0.2	12709.504211917914	0.2	
161	2021-01-07 17:00:00	1500	0.18	11516.037820859185	0.18	
162	2021-01-07 18:00:00	1500	0.18	12843.074354068545	0.18	
163	2021-01-07 19:00:00	1500	0.18	14398.08648805874	0.18	
164	2021-01-07 20:00:00	1500	0.18	16468.42338396136	0.18	
165	2021-01-07 21:00:00	1500	0.2	15960.573180068286	0.2	
166	2021-01-07 22:00:00	1500	0.2	14671.768621090985	0.2	
167	2021-01-07 23:00:00	1500	0.2	13507.139090098515	0.2	
168	2021-01-08 00:00:00	1500	0.2	11293.277808775532	0.2	
169	2021-01-08 01:00:00	1500	0.2	10851.189338042499	0.2	
170	2021-01-08 02:00:00	1500	0.2	10200.902573681615	0.2	
171	2021-01-08 03:00:00	1500	0.2	9341.709154409886	0.2	
172	2021-01-08 04:00:00	1500	0.2	8536.560500889087	0.2	
173	2021-01-08 05:00:00	1500	0.18	7771.696479439116	0.18	
174	2021-01-08 06:00:00	1500	0.18	8543.468439719116	0.18	
175	2021-01-08 07:00:00	1500	0.18	10138.649627672105	0.18	
176	2021-01-08 08:00:00	1500	0.18	10235.182078205906	0.18	
177	2021-01-08 09:00:00	1500	0.2	7760.008048776179	0.2	
178	2021-01-08 10:00:00	1500	0.2	6646.025691997627	0.2	
