simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
0	2021-01-01 00:00:00	9724.70110290412	0	0	0	0.0	0	0	0	2139.4342426389067	0	0	0	0	0	0	0	0	0	0	0	9724.70110290412	0	0	9724.70110290412	0.0	0	0	2139.4342426389067	1944.9402205808242	0	0	0	0	0	0	0	0	0	0	0	
1	2021-01-01 01:00:00	9487.29732352365	0	0	0	0.0	0	0	0	1777.2554076156855	0	0	0	0	0	0	0	0	0	0	0	9487.29732352365	0	0	9487.29732352365	0.0	0	0	1777.2554076156855	1897.45946470473	0	0	0	0	0	0	0	0	0	0	0	
2	2021-01-01 02:00:00	8843.288823722389	0	0	0	0.0	0	0	0	1507.7807444446673	0	0	0	0	0	0	0	0	0	0	0	8843.288823722389	0	0	8843.288823722389	0.0	0	0	1507.7807444446673	1768.6577647444778	0	0	0	0	0	0	0	0	0	0	0	
3	2021-01-01 03:00:00	8137.12904247781	0	0	0	0.0	0	0	0	1254.9080409309279	0	0	0	0	0	0	0	0	0	0	0	8137.12904247781	0	0	8137.12904247781	0.0	0	0	1254.9080409309279	1627.425808495562	0	0	0	0	0	0	0	0	0	0	0	
4	2021-01-01 04:00:00	7416.41636568209	0	0	0	0.0	0	0	0	697.5139591924006	0	0	0	0	0	0	0	0	0	0	0	7416.41636568209	0	0	7416.41636568209	0.0	0	0	697.5139591924006	1483.283273136418	0	0	0	0	0	0	0	0	0	0	0	
5	2021-01-01 05:00:00	6761.25329114448	0	0	0	0.0	0	0	0	508.71669762571076	0	0	0	0	0	0	0	0	0	0	0	6761.25329114448	0	0	6761.25329114448	0.0	0	0	508.71669762571076	1217.0255924060064	0	0	0	0	0	0	0	0	0	0	0	
6	2021-01-01 06:00:00	7427.56086190014	0	0	0	0.0	0	0	0	546.5942038272312	0	0	0	0	0	0	0	0	0	0	0	7427.56086190014	0	0	7427.56086190014	0.0	0	0	546.5942038272312	1336.960955142025	0	0	0	0	0	0	0	0	0	0	0	
7	2021-01-01 07:00:00	8816.84371247062	0	0	0	0.0	0	0	0	846.6815017085537	0	0	0	0	0	0	0	0	0	0	0	8816.84371247062	0	0	8816.84371247062	0.0	0	0	846.6815017085537	1587.0318682447114	0	0	0	0	0	0	0	0	0	0	0	
8	2021-01-01 08:00:00	8899.82143391358	0	0	0	0.0	0	0	0	1491.9660651812726	0	0	0	0	0	0	0	0	0	0	0	8899.82143391358	0	0	8899.82143391358	0.0	0	0	1491.9660651812726	1601.9678581044443	0	0	0	0	0	0	0	0	0	0	0	
9	2021-01-01 09:00:00	6747.93927498211	0	0	0	0.0	0	0	0	969.40895624393	0	0	0	0	0	0	0	0	0	0	0	6747.93927498211	0	0	6747.93927498211	0.0	0	0	969.40895624393	1349.587854996422	0	0	0	0	0	0	0	0	0	0	0	
10	2021-01-01 10:00:00	5779.116129429281	0	0	0	0.0	0	0	0	846.7560952839784	0	0	0	0	0	0	0	0	0	0	0	5779.116129429281	0	0	5779.116129429281	0.0	0	0	846.7560952839784	1155.8232258858561	0	0	0	0	0	0	0	0	0	0	0	
11	2021-01-01 11:00:00	4805.17915545892	0	0	0	0.0	0	0	0	666.5264006537068	0	0	0	0	0	0	0	0	0	0	0	4805.17915545892	0	0	4805.17915545892	0.0	0	0	666.5264006537068	961.0358310917841	0	0	0	0	0	0	0	0	0	0	0	
12	2021-01-01 12:00:00	4311.84384563644	0	0	0	0.0	0	0	0	683.4703679718322	0	0	0	0	0	0	0	0	0	0	0	4311.84384563644	0	0	4311.84384563644	0.0	0	0	683.4703679718322	862.368769127288	0	0	0	0	0	0	0	0	0	0	0	
13	2021-01-01 13:00:00	5897.837623332231	0	0	0	0.0	0	0	0	943.3001494757572	0	0	0	0	0	0	0	0	0	0	0	5897.837623332231	0	0	5897.837623332231	0.0	0	0	943.3001494757572	1179.5675246664462	0	0	0	0	0	0	0	0	0	0	0	
14	2021-01-01 14:00:00	6860.81808311928	0	0	0	0.0	0	0	0	916.1936468197487	0	0	0	0	0	0	0	0	0	0	0	6860.81808311928	0	0	6860.81808311928	0.0	0	0	916.1936468197487	1372.1636166238561	0	0	0	0	0	0	0	0	0	0	0	
