simulation_time	physical_time	heat_pump.LVE.energy	heat_pump.LVE.money	heat_pump.LTH.energy	heat_pump.LTH.money	combined_heat_power.LPG.energy	combined_heat_power.LPG.money	combined_heat_power.LVE.energy	combined_heat_power.LVE.money	combined_heat_power.LTH.energy	combined_heat_power.LTH.money	flexible_loads.LVE.energy	flexible_loads.LVE.money	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	Heat_storage.LTH.energy	Heat_storage.LTH.money	space_heating.LTH.energy	space_heating.LTH.money	
0	2021-01-01 00:00:00	1850.0	0.2	-6732.896627874614	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	-5.1901573664351375	0.06	-5.1901573664351375	0.06	5000	0.08	7526.2400925763595	0.08	
1	2021-01-01 01:00:00	1850.0	0.2	-6698.200144106689	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	-6.945848339768424	0.06	-6.945848339768424	0.06	5000	0.08	7597.918569648516	0.08	
2	2021-01-01 02:00:00	1849.9999999999998	0.2	-6651.938165749458	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	-8.935401779749157	0.06	-8.935401779749157	0.06	5000	0.08	7239.526184287736	0.08	
3	2021-01-01 03:00:00	1850.0	0.2	-6617.2416819815335	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	-10.883530165201012	0.06	-10.883530165201012	0.06	5000	0.08	5304.207303339528	0.08	
4	2021-01-01 04:00:00	1850.0	0.2	-6522.340903618259	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	-13.367229471246558	0.06	-13.367229471246558	0.06	5000	0.08	3583.92385360779	0.08	
5	2021-01-01 05:00:00	1849.9999999999998	0.18	-6442.167119434189	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-16.145969806543274	0.04	-16.145969806543274	0.04	2307.9580286884757	0.08	3583.92385360779	0.08	
6	2021-01-01 06:00:00	1850.0	0.18	-6382.523782420299	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-18.83845222414724	0.04	-18.83845222414724	0.04	2.163861000015842	0.08	6883.171927466476	0.08	
7	2021-01-01 07:00:00	1849.9999999999998	0.18	-6442.167119434189	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-22.22577009924608	0.04	-22.22577009924608	0.04	2.16205326313349	0.08	7098.207358682943	0.08	
8	2021-01-01 08:00:00	1850.0	0.18	-6505.300973147396	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	-194.75792416796872	0.04	-194.75792416796872	0.04	-11.48028077658397	0.04	-11.48028077658397	0.04	2.1605468157825896	0.08	8529.73877158654	0.08	
9	2021-01-01 09:00:00	1850.0	0.2	-6605.676187392226	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-1407.1268540875	0.06	-1407.1268540875	0.06	-2.150958518909057	0.06	-2.150958518909057	0.06	2.158739078961509	0.08	5445.526128944322	0.08	
10	2021-01-01 10:00:00	1850.0	0.2	-6823.4439611767175	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	0	0	2.153315868436996	0.08	5302.169174800012	0.08	
11	2021-01-01 11:00:00	1850.0	0.2	-7042.709906045447	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	0	0	2.1478926579124833	0.08	4943.776789439233	0.08	
12	2021-01-01 12:00:00	1850.0	0.2	-7290.868623234989	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	0	0	2.142469447387971	0.08	4298.670495789831	0.08	
13	2021-01-01 13:00:00	1850.0	0.2	-7387.607257243965	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-2646.758379321875	0.06	-2646.758379321875	0.06	-1.1382151699446497	0.06	-1.1382151699446497	0.06	2.1376488158038183	0.08	3868.5996333568955	0.08	
14	2021-01-01 14:00:00	1850.0	0.2	-7465.21031162898	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-8.648247466760363	0.06	-8.648247466760363	0.06	2.1328281842196657	0.08	4155.31354164552	0.08	
15	2021-01-01 15:00:00	1850.0	0.2	-7542.7966485678535	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-1563.414211542969	0.06	-1563.414211542969	0.06	-12.045475372436773	0.06	-12.045475372436773	0.06	2.128007552635513	0.08	4585.384404078453	0.08	
16	2021-01-01 16:00:00	1850.0	0.2	-7484.24500687631	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	-523.2032336	0.06	-523.2032336	0.06	-16.088291899793894	0.06	-16.088291899793894	0.06	2.131623026338945	0.08	4800.4198352949215	0.08	
17	2021-01-01 17:00:00	1850.0	0.18	-7427.14092113432	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-20.846821900052866	0.04	-20.846821900052866	0.04	2.135238499981106	0.08	8027.989432081449	0.08	
18	2021-01-01 18:00:00	1850.0	0.18	-7363.42259874172	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-12.060825756213077	0.04	-12.060825756213077	0.04	2.1388539736845384	0.08	6739.814973322164	0.08	
19	2021-01-01 19:00:00	1850.0	0.18	-7272.730129358305	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-5.81391909156273	0.04	-5.81391909156273	0.04	2.143373315798511	0.08	6883.171927466476	0.08	
20	2021-01-01 20:00:00	1850.0	0.18	-7042.709906045447	0.05	14600.0	0.16	-4964.0	0.04	-9034.479999999998	0.05	0	0	0	0	0	0	-1.414524637537412	0.04	-1.414524637537412	0.04	2.1478926579124833	0.08	7169.885835755098	0.08	
21	2021-01-01 21:00:00	1850.0	0.2	-6849.403159949801	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	0	0	0	0	2.152713289496636	0.08	7169.885835755098	0.08	
22	2021-01-01 22:00:00	1850.0	0.2	-6797.484762403636	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	0	0	0	0	0	0	0	0	0	0	2.1539184473773565	0.08	7026.528881610785	0.08	
23	2021-01-01 23:00:00	1850.0	0.2	-6745.566364857472	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	1500	0.2	0	0	0	0	0	0	0	0	2.1551236052580767	0.08	4013.9947160407264	0.08	
24	2021-01-02 00:00:00	1850.0	0.2	-6732.896627874614	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	1500	0.2	0	0	0	0	0	0	0	0	2.155424894728257	0.08	4229.030147257192	0.08	
25	2021-01-02 01:00:00	1850.0	0.2	-6698.200144106689	0.05	14600.0	0.16	-4964.0	0.06	-9034.479999999998	0.05	1500	0.2	0	0	0	0	0	0	0	0	2.156328763138797	0.08	4229.030147257192	0.08	
