simulation_time	physical_time	mean_national_grid.curtailment_rate_consumption	min_national_grid.curtailment_rate_consumption	max_national_grid.curtailment_rate_consumption	sum_national_grid.curtailment_rate_consumption	mean_national_grid.curtailment_rate_production	min_national_grid.curtailment_rate_production	max_national_grid.curtailment_rate_production	sum_national_grid.curtailment_rate_production	mean_full_elec_renewable_district.curtailment_rate_consumption	min_full_elec_renewable_district.curtailment_rate_consumption	max_full_elec_renewable_district.curtailment_rate_consumption	sum_full_elec_renewable_district.curtailment_rate_consumption	mean_full_elec_renewable_district.curtailment_rate_production	min_full_elec_renewable_district.curtailment_rate_production	max_full_elec_renewable_district.curtailment_rate_production	sum_full_elec_renewable_district.curtailment_rate_production	mean_DHN_bound_renewable_district.curtailment_rate_consumption	min_DHN_bound_renewable_district.curtailment_rate_consumption	max_DHN_bound_renewable_district.curtailment_rate_consumption	sum_DHN_bound_renewable_district.curtailment_rate_consumption	mean_DHN_bound_renewable_district.curtailment_rate_production	min_DHN_bound_renewable_district.curtailment_rate_production	max_DHN_bound_renewable_district.curtailment_rate_production	sum_DHN_bound_renewable_district.curtailment_rate_production	mean_district_heating_network.curtailment_rate_consumption	min_district_heating_network.curtailment_rate_consumption	max_district_heating_network.curtailment_rate_consumption	sum_district_heating_network.curtailment_rate_consumption	mean_district_heating_network.curtailment_rate_production	min_district_heating_network.curtailment_rate_production	max_district_heating_network.curtailment_rate_production	sum_district_heating_network.curtailment_rate_production	mean_old_district.curtailment_rate_consumption	min_old_district.curtailment_rate_consumption	max_old_district.curtailment_rate_consumption	sum_old_district.curtailment_rate_consumption	mean_old_district.curtailment_rate_production	min_old_district.curtailment_rate_production	max_old_district.curtailment_rate_production	sum_old_district.curtailment_rate_production	
0	2019-03-01 00:00:00	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.29349687848461753	0.29349687848461753	0.29349687848461753	0.29349687848461753	0	inf	-inf	0	0.37270167508299573	0.37270167508299573	0.37270167508299573	0.37270167508299573	0	inf	-inf	0	0.9165480344858438	0.9165480344858438	0.9165480344858438	0.9165480344858438	0	inf	-inf	0	0.35379834275279703	0.35379834275279703	0.35379834275279703	0.35379834275279703	0.0	0.0	0.0	0.0	
24	2019-03-02 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3117151647360463	0.0	0.5034138788925924	7.4811639536651136	0.0	0.0	0.0	0.0	0.47384377043009557	0.2964984171050858	0.6240814238016684	11.37225049032229	0	inf	-inf	0	0.6168557872819769	2.4956915455745035e-16	0.9361924023678795	14.80453889476745	0.5216673539761132	0.0	0.9519371954881611	5.216673539761132	0.5748348430404406	0.4621191585318264	0.6740819044993698	13.796036232970577	0.0	0.0	0.0	0.0	
48	2019-03-03 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30890073396513595	1.9240161445793136e-16	0.48280136152250913	7.413617615163266	0.0	0.0	0.0	0.0	0.45249374737915804	0.30801111818367016	0.5448674691470237	10.85984993709979	0	inf	-inf	0	0.6170288986664406	1.2134799349731957e-16	0.936217498202062	14.808693567994574	0.5240943308967696	0.0	0.951152108828677	5.240943308967697	0.573887187149931	0.4636151880416829	0.666730371318413	13.773292491598351	0.0	0.0	0.0	0.0	
72	2019-03-04 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3140891810430154	0.0	0.5031074287229373	7.538140345032371	0.0	0.0	0.0	0.0	0.5122254876214621	0.3693178804377349	0.6259011529269084	12.29341170291509	0	inf	-inf	0	0.6170329128818598	1.2134799349731957e-16	0.9362178640787265	14.808789909164632	0.5240945881239778	0.0	0.9511522925638696	5.240945881239778	0.5891322863753156	0.47393311089080725	0.6811244038951081	14.13917487300757	0.0	0.0	0.0	0.0	
96	2019-03-05 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31572967684460673	4.1976795029550783e-16	0.4819992565246276	7.577512244270562	0.0	0.0	0.0	0.0	0.42750385737134317	0.314890396729859	0.5364057572425983	10.260092576912239	0	inf	-inf	0	0.6170329859586392	1.2134799349731957e-16	0.9362178674638987	14.808791663007348	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5596084128309803	0.46467450173501396	0.6647418874306107	13.430601907943519	0.0	0.0	0.0	0.0	
120	2019-03-06 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31690869324602505	4.222517033282552e-16	0.5008477573294914	7.605808637904599	0.0	0.0	0.0	0.0	0.419040566271552	0.27668538810972454	0.6087249326248876	10.056973590517252	0	inf	-inf	0	0.617032986659375	1.2134799349731957e-16	0.9362178674917576	14.808791679825001	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5491532629293321	0.4515835222893434	0.6733380767555707	13.179678310303972	0.0	0.0	0.0	0.0	
144	2019-03-07 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3086207982438647	1.9239620919695143e-16	0.4813717716162243	7.406899157852753	0.0	0.0	0.0	0.0	0.4509165925633692	0.30801111818367016	0.5381858378883948	10.821998221520856	0	inf	-inf	0	0.6170329866651428	1.2134799349731957e-16	0.9362178674919872	14.808791679963425	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.572676856764299	0.4636151969268032	0.6606988784188279	13.74424456234318	0.0	0.0	0.0	0.0	
168	2019-03-08 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3199120743872854	1.3818018266426934e-16	0.5031074287229398	7.677889785294851	0.0	0.0	0.0	0.0	0.4857743714137624	0.40617887258970214	0.6241718147651732	11.6585849139303	0	inf	-inf	0	0.6170329866651904	1.2134799349731957e-16	0.9362178674919898	14.80879167996457	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5798419407194046	0.48389456482720944	0.6811500854421896	13.916206577265717	0.0	0.0	0.0	0.0	
192	2019-03-09 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.311194368283104	1.9221154583196672e-16	0.4829124963592619	7.468664838794499	0.0	0.0	0.0	0.0	0.4682876495054084	0.3095320855128454	0.5455411890628229	11.238903588129801	0	inf	-inf	0	0.6170329866651904	1.2134799349731957e-16	0.936217867491989	14.808791679964575	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5777431513692768	0.46377851277832577	0.6666340850259717	13.865835632862646	0.0	0.0	0.0	0.0	
216	2019-03-10 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31111610457885214	1.9241310710636e-16	0.5031074287229398	7.466786509892448	0.0	0.0	0.0	0.0	0.4601336106976798	0.2948208414856745	0.6241718147651732	11.043206656744317	0	inf	-inf	0	0.6170329866651907	1.2134799349731957e-16	0.93621786749199	14.808791679964578	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5748892050324714	0.46198009936521134	0.6811500854421896	13.797340920779318	0.0	0.0	0.0	0.0	
