simulation_time	physical_time	mean_PhotovoltaicsAdvanced.energy	min_PhotovoltaicsAdvanced.energy	max_PhotovoltaicsAdvanced.energy	sum_PhotovoltaicsAdvanced.energy	mean_PhotovoltaicsAdvanced.money	min_PhotovoltaicsAdvanced.money	max_PhotovoltaicsAdvanced.money	sum_PhotovoltaicsAdvanced.money	
0	2019-03-01 00:00:00	0.0	0	0	0	0.0	0	0	0	
24	2019-03-02 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
48	2019-03-03 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
72	2019-03-04 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
96	2019-03-05 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
120	2019-03-06 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
144	2019-03-07 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
168	2019-03-08 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
192	2019-03-09 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
216	2019-03-10 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
240	2019-03-11 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
264	2019-03-12 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
288	2019-03-13 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
312	2019-03-14 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
336	2019-03-15 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
360	2019-03-16 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
384	2019-03-17 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
408	2019-03-18 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
432	2019-03-19 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
456	2019-03-20 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
480	2019-03-21 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
504	2019-03-22 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
528	2019-03-23 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
552	2019-03-24 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
576	2019-03-25 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
600	2019-03-26 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
624	2019-03-27 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
648	2019-03-28 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
672	2019-03-29 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
696	2019-03-30 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
720	2019-03-31 00:00:00	-7570.750855522786	-25100.454166242926	0	-181698.02053254689	-757.0750855523307	-2510.045416624933	0	-18169.80205325593	
