simulation_time	physical_time	mean_SolarThermalCollector.energy	min_SolarThermalCollector.energy	max_SolarThermalCollector.energy	sum_SolarThermalCollector.energy	mean_SolarThermalCollector.money	min_SolarThermalCollector.money	max_SolarThermalCollector.money	sum_SolarThermalCollector.money	
0	2019-03-01 00:00:00	0.0	0	0	0	0.0	0	0	0	
24	2019-03-02 00:00:00	-1695.0700406044627	-14036.834982846747	0	-40681.6809745071	-174.53405004641448	-1460.0947352236508	0	-4188.817201113947	
48	2019-03-03 00:00:00	-1675.7536300775237	-13545.571917082494	0	-40218.08712186057	-172.38783465490056	-1405.5099501387406	0	-4137.308031717613	
72	2019-03-04 00:00:00	-1675.7515725624883	-13545.555299647429	0	-40218.03774149973	-172.38761867142333	-1405.5081037570667	0	-4137.30284811416	
96	2019-03-05 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
120	2019-03-06 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
144	2019-03-07 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
168	2019-03-08 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
192	2019-03-09 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
216	2019-03-10 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
240	2019-03-11 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
264	2019-03-12 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
288	2019-03-13 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
312	2019-03-14 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
336	2019-03-15 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
360	2019-03-16 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
384	2019-03-17 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
408	2019-03-18 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
432	2019-03-19 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
456	2019-03-20 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
480	2019-03-21 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
504	2019-03-22 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
528	2019-03-23 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
552	2019-03-24 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
576	2019-03-25 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
600	2019-03-26 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
624	2019-03-27 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
648	2019-03-28 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
672	2019-03-29 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
696	2019-03-30 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
720	2019-03-31 00:00:00	-1675.7515626590318	-13545.555299647429	0	-40218.03750381676	-172.38761768107767	-1405.5081037570667	0	-4137.302824345864	
