simulation_time	physical_time	mean_LVE.energy_mismatch	min_LVE.energy_mismatch	max_LVE.energy_mismatch	sum_LVE.energy_mismatch	mean_LTH.energy_mismatch	min_LTH.energy_mismatch	max_LTH.energy_mismatch	sum_LTH.energy_mismatch	
0	2019-03-01 00:00:00	116752.47532767858	116752.47532767858	116752.47532767858	116752.47532767858	1999.9999999999905	1999.9999999999905	1999.9999999999905	1999.9999999999905	
24	2019-03-02 00:00:00	39306.00635489739	-3054.768150821208	72885.51350201233	943344.1525175374	1416.6666666666445	-4.547473508864641e-13	2000.0000000000084	33999.99999999947	
48	2019-03-03 00:00:00	38837.44354780742	-3319.293998680394	74438.95615841603	932098.6451473782	1416.666666666647	-4.547473508864641e-13	2000.0000000000075	33999.99999999952	
72	2019-03-04 00:00:00	39609.39654516844	-1032.6239160455625	73766.62445389605	950625.5170840424	1416.6666666666413	-4.547473508864641e-13	2000.000000000008	33999.99999999939	
96	2019-03-05 00:00:00	44779.80425470411	11811.481277616756	77184.73280235588	1074715.302112899	1416.6666666666565	-4.547473508864641e-13	2000.0000000000077	33999.999999999745	
120	2019-03-06 00:00:00	44371.69296765179	10812.984018727806	75123.06175318788	1064920.631223643	1416.6666666666588	-4.547473508864641e-13	2000.000000000021	33999.99999999982	
144	2019-03-07 00:00:00	39024.046505802704	-3319.7873131085507	74438.95615841603	936577.1161392647	1416.6666666666479	-4.547473508864641e-13	2000.0000000000075	33999.99999999954	
168	2019-03-08 00:00:00	39496.673342804555	-3065.7380852968417	74781.05924740461	947920.1602273093	1416.6666666666458	-4.547473508864641e-13	2000.000000000008	33999.999999999505	
192	2019-03-09 00:00:00	39114.18366696041	-3088.0396011050216	74449.84016626395	938740.4080070499	1416.6666666666465	-4.547473508864641e-13	2000.000000000008	33999.999999999505	
216	2019-03-10 00:00:00	38722.265349748486	-3287.155607747074	72874.62949416447	929334.3683939639	1416.6666666666454	-4.547473508864641e-13	2000.000000000008	33999.99999999948	
240	2019-03-11 00:00:00	39724.68350495475	-1064.2906036686509	75329.53938939348	953392.4041189144	1416.6666666666395	-4.547473508864641e-13	2000.0000000000077	33999.999999999345	
264	2019-03-12 00:00:00	44659.28524629367	11843.629019575445	75620.0747594023	1071822.845911048	1416.666666666655	-4.547473508864641e-13	2000.0000000000218	33999.99999999972	
288	2019-03-13 00:00:00	44491.501488662325	10780.723789854983	76687.71861667026	1067796.0357278956	1416.6666666666592	-4.547473508864641e-13	2000.0000000000075	33999.99999999981	
312	2019-03-14 00:00:00	38908.87055777029	-3287.6489221752345	72874.62949416447	933812.8933864872	1416.6666666666458	-4.547473508864641e-13	2000.0000000000075	33999.9999999995	
336	2019-03-15 00:00:00	39611.991722859195	-3097.9337573001576	76345.75281550808	950687.8013486203	1416.6666666666445	-4.547473508864641e-13	2000.0000000000077	33999.99999999945	
360	2019-03-16 00:00:00	38998.89144353617	-3055.9012101716908	72885.51350201233	935973.3946448681	1416.666666666647	-4.547473508864641e-13	2000.000000000021	33999.99999999952	
384	2019-03-17 00:00:00	38837.44354780742	-3319.293998680394	74438.95615841603	932098.6451473782	1416.666666666647	-4.547473508864641e-13	2000.000000000008	33999.99999999952	
408	2019-03-18 00:00:00	39609.39654516844	-1032.6239160455625	73766.62445389605	950625.5170840424	1416.6666666666413	-4.547473508864641e-13	2000.000000000008	33999.99999999939	
432	2019-03-19 00:00:00	44779.80425470411	11811.481277616756	77184.73280235588	1074715.302112899	1416.6666666666565	-4.547473508864641e-13	2000.0000000000077	33999.999999999745	
456	2019-03-20 00:00:00	44371.69296765179	10812.984018727806	75123.06175318788	1064920.631223643	1416.6666666666588	-4.547473508864641e-13	2000.000000000021	33999.99999999982	
