simulation_time	physical_time	mean_LVE.energy_consumed	min_LVE.energy_consumed	max_LVE.energy_consumed	sum_LVE.energy_consumed	mean_LVE.energy_produced	min_LVE.energy_produced	max_LVE.energy_produced	sum_LVE.energy_produced	mean_LVE.energy_erased	min_LVE.energy_erased	max_LVE.energy_erased	sum_LVE.energy_erased	mean_LVE.money_spent	min_LVE.money_spent	max_LVE.money_spent	sum_LVE.money_spent	mean_LVE.money_earned	min_LVE.money_earned	max_LVE.money_earned	sum_LVE.money_earned	mean_LTH.energy_consumed	min_LTH.energy_consumed	max_LTH.energy_consumed	sum_LTH.energy_consumed	mean_LTH.energy_produced	min_LTH.energy_produced	max_LTH.energy_produced	sum_LTH.energy_produced	mean_LTH.energy_erased	min_LTH.energy_erased	max_LTH.energy_erased	sum_LTH.energy_erased	mean_LTH.money_spent	min_LTH.money_spent	max_LTH.money_spent	sum_LTH.money_spent	mean_LTH.money_earned	min_LTH.money_earned	max_LTH.money_earned	sum_LTH.money_earned	
0	2019-03-01 00:00:00	116752.66641088581	116752.66641088581	116752.66641088581	116752.66641088581	0.1910832072274908	0.1910832072274908	0.1910832072274908	0.1910832072274908	59295.52676652445	59295.52676652445	59295.52676652445	59295.52676652445	17442.431737580733	17442.431737580733	17442.431737580733	17442.431737580733	0.01910832072274908	0.01910832072274908	0.01910832072274908	0.01910832072274908	1999.9999999999905	1999.9999999999905	1999.9999999999905	1999.9999999999905	0.0	0	0	0	21965.882501122494	21965.882501122494	21965.882501122494	21965.882501122494	199.99999999999727	199.99999999999727	199.99999999999727	199.99999999999727	0.0	0	0	0	
24	2019-03-02 00:00:00	46876.81251265468	21713.40325128432	72885.59268964776	1125043.5003037127	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46875.46362547908	23739.126261006997	66401.78855889713	1125011.1270114982	6907.44474743089	3160.312952679753	10788.620706982188	165778.67393834138	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3111.736707271107	1822.1296285306044	14036.834982846747	74681.68097450657	1695.0700406044627	0	14036.834982846747	40681.6809745071	21608.748581315045	3455.516256517546	37869.4029363504	518609.96595156123	298.31837995917397	170.0102715621696	1239.7484063933846	7159.64111902018	174.53405004641448	0	1460.0947352236508	4188.817201113947	
48	2019-03-03 00:00:00	46408.24970556472	21448.877403425133	74439.03534605146	1113797.9929335536	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46023.04240721383	21449.80591341366	71328.23728074403	1104553.0177731318	6842.011751921144	3123.672409374871	11021.8058691182	164208.28204610743	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.42029674417	1851.8933861335931	13545.571917082494	74218.0871218601	1675.7536300775237	0	13545.571917082494	40218.08712186057	21935.90686427522	3482.41315358998	37858.086425045185	526461.7647426053	295.83782573957075	172.6411750294694	1192.7887940925314	7100.107817749699	172.38783465490056	0	1405.5099501387406	4137.308031717613	
72	2019-03-04 00:00:00	47180.20270292575	23735.547486059964	73766.70364153148	1132324.8648702179	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	49582.15552823395	28736.772741217956	70475.96258072963	1189971.7326776145	6948.320855984349	3456.8116762648374	10908.512636306546	166759.7005436244	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.41823922913	1851.8864204697745	13545.555299647429	74218.03774149912	1675.7515725624883	0	13545.555299647429	40218.03774149973	21937.321557317748	3482.710365824004	37858.086425045185	526495.7173756257	295.83677777420047	172.64047846308756	1192.787132349025	7100.082666580812	172.38761867142333	0	1405.5081037570667	4137.30284811416	
96	2019-03-05 00:00:00	52350.62665883771	36579.61136443423	77184.8653555717	1256415.0398121055	7570.822404133601	0.005164411006148399	25100.483431238627	181699.7376992064	49129.071337632195	28080.489163849423	71727.69484298905	1179097.7121031724	7709.424896305993	5314.756761142465	11428.864610445142	185026.19751134387	757.0822404134117	0.00051644110061484	2510.048343124503	18169.97376992189	3092.418229325688	1851.8864204697745	13545.555299647429	74218.0375038165	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.34611600644	3482.7129711267553	37858.086425045185	526496.3067841546	295.8367729944374	172.64047846308756	1192.787132349025	7100.0825518665	172.38761768107767	0	1405.5081037570667	4137.302824345864	
120	2019-03-06 00:00:00	51942.5153717854	35581.11410554528	75123.1943064037	1246620.3689228494	7570.822404133601	0.005164411006148399	25100.483431238627	181699.7376992064	47828.56516316767	23866.77040057734	70867.04712622547	1147885.5639160245	7646.874698154539	5168.0982748914785	11126.126664465795	183524.9927557089	757.0822404134117	0.00051644110061484	2510.048343124503	18169.97376992189	3092.4182293256904	1851.8864204697745	13545.555299647429	74218.03750381658	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346345343474	3482.712992567741	37858.086425045185	526496.3122882434	295.8367729944377	172.64047846308756	1192.787132349025	7100.082551866506	172.38761768107767	0	1405.5081037570667	4137.302824345864	
144	2019-03-07 00:00:00	46594.85266356001	21448.384088996976	74439.03534605146	1118276.4639254403	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46069.893446167	21449.885898530792	71328.23744150065	1105677.4427080082	6868.941963360505	3123.6099219029006	11021.8058691182	164854.60712065207	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256795	1851.8864204697745	13545.555299647429	74218.03750381632	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347230887	3482.712992744189	37858.086425045185	526496.3123335412	295.83677299443656	172.64047846308756	1192.787132349025	7100.082551866478	172.38761768107767	0	1405.5081037570667	4137.302824345864	
168	2019-03-08 00:00:00	47067.47950056189	21702.433316808685	74781.13843504005	1129619.5080134845	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	48506.51874398688	21659.74902527302	70475.96269026908	1164156.4498556852	6933.501289375018	3160.2721630043693	11052.030483895487	166404.03094500047	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256777	1851.8864204697745	13545.555299647429	74218.03750381626	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246446	3482.7129927456576	37858.086425045185	526496.3123339147	295.83677299443644	172.64047846308756	1192.787132349025	7100.082551866477	172.38761768107767	0	1405.5081037570667	4137.302824345864	
192	2019-03-09 00:00:00	46684.989824717704	21680.131801000505	74449.91935389939	1120439.7557932253	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46935.72436658504	23716.914573840328	71328.23744150065	1126457.3847980415	6881.495325280208	3155.8408698137246	11023.275210177666	165155.88780672502	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256767	1851.8864204697745	13545.555299647429	74218.03750381627	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.34634724656	3482.7129927456576	37858.086425045185	526496.3123339176	295.83677299443656	172.64047846308756	1192.787132349025	7100.082551866475	172.38761768107767	0	1405.5081037570667	4137.302824345864	
216	2019-03-10 00:00:00	46293.071507505796	21481.015794358453	72874.70868179991	1111033.7161801395	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46404.75997440816	21473.52043090177	70475.96269026908	1113714.2393857958	6821.370982420787	3128.01109215087	10787.151365922718	163712.9035780989	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.418229325676	1851.8864204697745	13545.555299647429	74218.03750381625	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246574	3482.712992745658	37858.086425045185	526496.3123339181	295.83677299443644	172.64047846308756	1192.787132349025	7100.082551866472	172.38761768107767	0	1405.5081037570667	4137.302824345864	
240	2019-03-11 00:00:00	47295.48966271208	23703.880798436876	75329.61857702892	1135091.7519050897	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	49200.49517730258	28713.058608554606	71444.22932333007	1180811.8842552623	6968.976308317904	3452.5366734357194	11142.976556120231	167255.43139962968	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.418229325671	1851.8864204697745	13545.555299647429	74218.03750381611	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246596	3482.712992745658	37858.086425045185	526496.3123339183	295.83677299443605	172.64047846308756	1192.787132349025	7100.082551866461	172.38761768107767	0	1405.5081037570667	4137.302824345864	
264	2019-03-12 00:00:00	52230.107650427264	36611.75910639292	75620.20731261812	1253522.5836102546	7570.822404133601	0.005164411006148399	25100.483431238627	181699.7376992064	49511.07112995198	28104.203296641128	70561.94199327315	1188265.7071188474	7688.067406272033	5319.0967063068865	11194.165371124822	184513.61775052876	757.0822404134117	0.00051644110061484	2510.048343124503	18169.97376992189	3092.418229325687	1851.8864204697745	13545.555299647429	74218.03750381648	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.34634724656	3482.712992745658	37858.086425045185	526496.3123339177	295.83677299443747	172.64047846308756	1192.787132349025	7100.082551866499	172.38761768107767	0	1405.5081037570667	4137.302824345864	
288	2019-03-13 00:00:00	52062.323892795925	35548.85387667246	76687.85116988608	1249495.7734271022	7570.822404133601	0.005164411006148399	25100.483431238627	181699.7376992064	47446.502385310996	23843.056267785665	71631.89216637991	1138716.0572474638	7668.136377368301	5163.74397208131	11360.82574455747	184035.2730568392	757.0822404134117	0.00051644110061484	2510.048343124503	18169.97376992189	3092.4182293256904	1851.8864204697745	13545.555299647429	74218.03750381657	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246523	3482.712992745658	37858.086425045185	526496.3123339165	295.8367729944376	172.64047846308756	1192.787132349025	7100.082551866506	172.38761768107767	0	1405.5081037570667	4137.302824345864	
312	2019-03-14 00:00:00	46479.6767155276	21480.522479930292	72874.70868179991	1115512.241172663	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46451.635310755584	21473.60003132248	70785.01947088311	1114839.247458134	6848.301392634934	3127.948604678899	10787.151365922718	164359.23342323842	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256763	1851.8864204697745	13545.555299647429	74218.03750381626	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246552	3482.712992745658	37858.086425045185	526496.3123339176	295.83677299443644	172.64047846308756	1192.787132349025	7100.082551866473	172.38761768107767	0	1405.5081037570667	4137.302824345864	
336	2019-03-15 00:00:00	47182.79788061648	21670.23764480537	76345.83200314351	1132387.1491347956	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	48124.72159485871	21636.034892481333	71829.53810422352	1154993.3182766088	6954.160983444793	3155.9257472839213	11286.734519111009	166899.86360267503	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256754	1851.8864204697745	13545.555299647429	74218.03750381622	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246577	3482.7129927456836	37858.086425045185	526496.3123339181	295.8367729944363	172.64047846308756	1192.787132349025	7100.082551866472	172.38761768107767	0	1405.5081037570667	4137.302824345864	
360	2019-03-16 00:00:00	46569.69760129346	21712.270191933836	72885.59268964776	1117672.7424310434	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	47317.40324389707	23740.628706631996	70646.29260380146	1135617.67785353	6860.8391623555335	3160.179552589724	10788.620706982188	164660.1398965329	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256786	1851.8864204697745	13545.555299647429	74218.03750381629	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246574	3482.712992745658	37858.086425045185	526496.3123339181	295.8367729944365	172.64047846308756	1192.787132349025	7100.082551866478	172.38761768107767	0	1405.5081037570667	4137.302824345864	
384	2019-03-17 00:00:00	46408.24970556472	21448.877403425133	74439.03534605146	1113797.9929335536	7570.806157757311	0.004303675838457	25100.47052021111	181699.3477861754	46023.08108183439	21449.80629811009	71328.23744150065	1104553.9459640256	6842.011751921144	3123.672409374871	11021.8058691182	164208.28204610743	757.0806157757827	0.0004303675838457	2510.0470520217514	18169.934778618786	3092.4182293256767	1851.8864204697745	13545.555299647429	74218.0375038163	1675.7515626590318	0	13545.555299647429	40218.03750381676	21937.346347246566	3482.712992745658	37858.086425045185	526496.3123339178	295.83677299443656	172.64047846308756	1192.787132349025	7100.082551866478	172.38761768107767	0	1405.5081037570667	4137.302824345864	
