simulation_time	physical_time	mean_national_grid_self_consumption	min_national_grid_self_consumption	max_national_grid_self_consumption	sum_national_grid_self_consumption	mean_national_grid_coverage_rate	min_national_grid_coverage_rate	max_national_grid_coverage_rate	sum_national_grid_coverage_rate	mean_full_elec_renewable_district_self_consumption	min_full_elec_renewable_district_self_consumption	max_full_elec_renewable_district_self_consumption	sum_full_elec_renewable_district_self_consumption	mean_full_elec_renewable_district_coverage_rate	min_full_elec_renewable_district_coverage_rate	max_full_elec_renewable_district_coverage_rate	sum_full_elec_renewable_district_coverage_rate	mean_DHN_bound_renewable_district_self_consumption	min_DHN_bound_renewable_district_self_consumption	max_DHN_bound_renewable_district_self_consumption	sum_DHN_bound_renewable_district_self_consumption	mean_DHN_bound_renewable_district_coverage_rate	min_DHN_bound_renewable_district_coverage_rate	max_DHN_bound_renewable_district_coverage_rate	sum_DHN_bound_renewable_district_coverage_rate	mean_district_heating_network_self_consumption	min_district_heating_network_self_consumption	max_district_heating_network_self_consumption	sum_district_heating_network_self_consumption	mean_district_heating_network_coverage_rate	min_district_heating_network_coverage_rate	max_district_heating_network_coverage_rate	sum_district_heating_network_coverage_rate	mean_old_district_self_consumption	min_old_district_self_consumption	max_old_district_self_consumption	sum_old_district_self_consumption	mean_old_district_coverage_rate	min_old_district_coverage_rate	max_old_district_coverage_rate	sum_old_district_coverage_rate	
0	2019-03-01 00:00:00	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	1	1	1	2.8823465140479292e-06	2.8823465140479292e-06	2.8823465140479292e-06	2.8823465140479292e-06	
24	2019-03-02 00:00:00	0.9655392006645727	0.8276960033228634	1	4.827696003322863	0.1396143973828266	0.0	1	3.3507455371878385	0.7907706999895205	0.28419903648238076	1	9.489248399874246	0.37646786209203814	0.0	1	9.035228690208916	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919737	1.0	1	1	24	2.62148296281568e-06	1.606223350326777e-07	1.6942288498154624e-05	6.291559110757634e-05	
48	2019-03-03 00:00:00	0.9626287128596476	0.8131435642982383	1	4.8131435642982385	0.14527686341109916	0.0	1	3.4866447218663805	0.7844015151004942	0.28278884403098187	1	9.41281818120593	0.3781575868109004	0.0	1	9.07578208346161	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216559	0.0	1.0	8.175456962919743	1.0	1	1	24	2.637946729393765e-06	1.9244682405850332e-07	1.7161689609918222e-05	6.331072150545034e-05	
72	2019-03-04 00:00:00	0.9877238037047782	0.9386190185238915	1	4.938619018523891	0.12779592695556122	0.0	1	3.06710224693347	0.8055322791818735	0.3207686435724932	1	9.666387350182482	0.37614399539948057	0.0	1	9.027455889587532	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.5450049565483378e-06	1.9167233036881506e-07	1.5936900750360613e-05	6.108011895716011e-05	
96	2019-03-05 00:00:00	1.0	1	1	5	0.0594659897446845	0.0	0.5283326989359117	1.4271837538724277	0.8697893652940242	0.46582265786038934	1	10.43747238352829	0.3667665402423317	0.0	1	8.802396965815962	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.6927476506756946e-06	2.2912075144984528e-07	8.187695788135715e-06	6.462594361621667e-05	
120	2019-03-06 00:00:00	1.0	1	1	5	0.06324335280147439	0.0	0.5559893767210408	1.517840467235385	0.8647764829979683	0.4533264400777165	1	10.37731779597562	0.3662718857068364	0.0	1	8.790525256964074	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.7376601398411677e-06	2.1979330033717964e-07	8.433704378275186e-06	6.570384335618802e-05	
144	2019-03-07 00:00:00	0.9626239659595484	0.813119829797742	1	4.813119829797742	0.14525819605304666	0.0	1	3.4861967052731195	0.784419208176995	0.28277335401617926	1	9.413030498123938	0.37810697306490665	0.0	1	9.074567353557761	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216559	0.0	1.0	8.175456962919743	1.0	1	1	24	2.6346373909021532e-06	1.8525179479793129e-07	1.7161860168105828e-05	6.323129738165166e-05	
168	2019-03-08 00:00:00	0.9653134142134114	0.8265670710670566	1	4.826567071067057	0.14048558643841802	0.0	1	3.3716540745220325	0.7896120043338033	0.28630465112170206	1	9.475344052005635	0.37637162111249994	0.0	1	9.032918906699997	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216558	0.0	1.0	8.175456962919741	1.0	1	1	24	2.6136438703288914e-06	1.9167233036881506e-07	1.6985160641381234e-05	6.272745288789339e-05	
192	2019-03-09 00:00:00	0.9651663077618235	0.8258315388091183	1	4.825831538809118	0.1409779314754648	0.0	1	3.383470355411155	0.7890940083949647	0.28414885783788024	1	9.469128100739574	0.3773575567232841	0.0	1	9.05658136135882	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919743	1.0	1	1	24	2.6185512730610393e-06	1.919414640989881e-07	1.6977662389935298e-05	6.284523055346494e-05	
216	2019-03-10 00:00:00	0.9629905527678555	0.8149527638392784	1	4.814952763839278	0.14401419762335735	0.0	1	3.456340742960578	0.7858504313788294	0.28278884403098187	1	9.430205176545952	0.3772421466747649	0.0	1	9.05381152019436	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216557	0.0	1.0	8.17545696291974	1.0	1	1	24	2.641695355771701e-06	1.9167233036881506e-07	1.7125375514714914e-05	6.340068853852082e-05	
240	2019-03-11 00:00:00	0.9873473389849128	0.9367366949245638	1	4.936736694924564	0.1288590099112469	0.0	1	3.0926162378699256	0.8040972812885085	0.3207686435724932	1	9.6491673754621	0.37702539100238014	0.0	1	9.048609384057121	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919744	1.0	1	1	24	2.540716753814723e-06	1.9244682405850332e-07	1.5968344827428476e-05	6.0977202091553374e-05	
264	2019-03-12 00:00:00	1.0	1	1	5	0.058914530950720835	0.0	0.5276553192043298	1.4139487428173	0.8707973330055367	0.46582265786038934	1	10.44956799606644	0.3659776716790469	0.0	1	8.783464120297124	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919734	1.0	1	1	24	2.701813818206637e-06	2.28205884937783e-07	8.177110457837938e-06	6.48435316369593e-05	
288	2019-03-13 00:00:00	1.0	1	1	5	0.06386366936250958	0.0	0.5567278750994537	1.5327280647002297	0.8637039459512863	0.45332421115797533	1	10.364447351415436	0.36706792561194207	0.0	1.0	8.809630214686612	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919737	1.0	1	1	24	2.7285231111841465e-06	2.2063956540522885e-07	8.444992508295726e-06	6.548455466841951e-05	
312	2019-03-14 00:00:00	0.9629857980530641	0.8149289902653207	1	4.8149289902653205	0.1439955364042431	0.0	1	3.455892873701834	0.7858687319506958	0.28277335401617926	1	9.430424783408352	0.3771931550403598	0.0	1	9.052635720968635	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216557	0.0	1.0	8.17545696291974	1.0	1	1	24	2.63843851648806e-06	1.8453865744498247e-07	1.7125545351861166e-05	6.332252439571345e-05	
336	2019-03-15 00:00:00	0.9649491437154663	0.8247457185773314	1	4.824745718577331	0.1417442138039183	0.0	1	3.4018611312940394	0.788163088055468	0.28630465112170206	1	9.457957056665615	0.37729098856058446	0.0	1	9.054983725454028	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919746	1.0	1	1	24	2.6103041426688556e-06	1.9244682405850332e-07	1.702096954034119e-05	6.264729942405254e-05	
360	2019-03-16 00:00:00	0.9655288351136107	0.8276441755680525	1	4.827644175568052	0.13975899853562043	0.0	1	3.354215964854891	0.7905331793710195	0.28414885783788024	1	9.486398152452232	0.37646740122399813	0.0	1	9.035217629375955	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.6225496146178805e-06	1.9117102452390342e-07	1.694212211505129e-05	6.294119075082912e-05	
384	2019-03-17 00:00:00	0.9626287128596476	0.8131435642982383	1	4.8131435642982385	0.14527686341109916	0.0	1	3.4866447218663805	0.7844015151004942	0.28278884403098187	1	9.41281818120593	0.3781575868109004	0.0	1	9.07578208346161	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216559	0.0	1.0	8.175456962919743	1.0	1	1	24	2.637946729393765e-06	1.9244682405850332e-07	1.7161689609918222e-05	6.331072150545034e-05	
408	2019-03-18 00:00:00	0.9877238037047782	0.9386190185238915	1	4.938619018523891	0.12779592695556122	0.0	1	3.06710224693347	0.8055322791818735	0.3207686435724932	1	9.666387350182482	0.37614399539948057	0.0	1	9.027455889587532	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.5450049565483378e-06	1.9167233036881506e-07	1.5936900750360613e-05	6.108011895716011e-05	
432	2019-03-19 00:00:00	1.0	1	1	5	0.0594659897446845	0.0	0.5283326989359117	1.4271837538724277	0.8697893652940242	0.46582265786038934	1	10.43747238352829	0.3667665402423317	0.0	1	8.802396965815962	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.6927476506756946e-06	2.2912075144984528e-07	8.187695788135715e-06	6.462594361621667e-05	
456	2019-03-20 00:00:00	1.0	1	1	5	0.06324335280147439	0.0	0.5559893767210408	1.517840467235385	0.8647764829979683	0.4533264400777165	1	10.37731779597562	0.3662718857068364	0.0	1	8.790525256964074	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.7376601398411677e-06	2.1979330033717964e-07	8.433704378275186e-06	6.570384335618802e-05	
480	2019-03-21 00:00:00	0.9626239659595484	0.813119829797742	1	4.813119829797742	0.14525819605304666	0.0	1	3.4861967052731195	0.784419208176995	0.28277335401617926	1	9.413030498123938	0.37810697306490665	0.0	1	9.074567353557761	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216559	0.0	1.0	8.175456962919743	1.0	1	1	24	2.6346373909021532e-06	1.8525179479793129e-07	1.7161860168105828e-05	6.323129738165166e-05	
504	2019-03-22 00:00:00	0.9653134142134114	0.8265670710670566	1	4.826567071067057	0.14048558643841802	0.0	1	3.3716540745220325	0.7896120043338033	0.28630465112170206	1	9.475344052005635	0.37637162111249994	0.0	1	9.032918906699997	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216558	0.0	1.0	8.175456962919741	1.0	1	1	24	2.6136438703288914e-06	1.9167233036881506e-07	1.6985160641381234e-05	6.272745288789339e-05	
528	2019-03-23 00:00:00	0.9651663077618235	0.8258315388091183	1	4.825831538809118	0.1409779314754648	0.0	1	3.383470355411155	0.7890940083949647	0.28414885783788024	1	9.469128100739574	0.3773575567232841	0.0	1	9.05658136135882	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919743	1.0	1	1	24	2.6185512730610393e-06	1.919414640989881e-07	1.6977662389935298e-05	6.284523055346494e-05	
552	2019-03-24 00:00:00	0.9629905527678555	0.8149527638392784	1	4.814952763839278	0.14401419762335735	0.0	1	3.456340742960578	0.7858504313788294	0.28278884403098187	1	9.430205176545952	0.3772421466747649	0.0	1	9.05381152019436	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216557	0.0	1.0	8.17545696291974	1.0	1	1	24	2.641695355771701e-06	1.9167233036881506e-07	1.7125375514714914e-05	6.340068853852082e-05	
576	2019-03-25 00:00:00	0.9873473389849128	0.9367366949245638	1	4.936736694924564	0.1288590099112469	0.0	1	3.0926162378699256	0.8040972812885085	0.3207686435724932	1	9.6491673754621	0.37702539100238014	0.0	1	9.048609384057121	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919744	1.0	1	1	24	2.540716753814723e-06	1.9244682405850332e-07	1.5968344827428476e-05	6.0977202091553374e-05	
600	2019-03-26 00:00:00	1.0	1	1	5	0.058914530950720835	0.0	0.5276553192043298	1.4139487428173	0.8707973330055367	0.46582265786038934	1	10.44956799606644	0.3659776716790469	0.0	1	8.783464120297124	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919734	1.0	1	1	24	2.701813818206637e-06	2.28205884937783e-07	8.177110457837938e-06	6.48435316369593e-05	
624	2019-03-27 00:00:00	1.0	1	1	5	0.06386366936250958	0.0	0.5567278750994537	1.5327280647002297	0.8637039459512863	0.45332421115797533	1	10.364447351415436	0.36706792561194207	0.0	1.0	8.809630214686612	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919737	1.0	1	1	24	2.7285231111841465e-06	2.2063956540522885e-07	8.444992508295726e-06	6.548455466841951e-05	
648	2019-03-28 00:00:00	0.9629857980530641	0.8149289902653207	1	4.8149289902653205	0.1439955364042431	0.0	1	3.455892873701834	0.7858687319506958	0.28277335401617926	1	9.430424783408352	0.3771931550403598	0.0	1	9.052635720968635	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216557	0.0	1.0	8.17545696291974	1.0	1	1	24	2.63843851648806e-06	1.8453865744498247e-07	1.7125545351861166e-05	6.332252439571345e-05	
672	2019-03-29 00:00:00	0.9649491437154663	0.8247457185773314	1	4.824745718577331	0.1417442138039183	0.0	1	3.4018611312940394	0.788163088055468	0.28630465112170206	1	9.457957056665615	0.37729098856058446	0.0	1	9.054983725454028	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.340644040121656	0.0	1.0	8.175456962919746	1.0	1	1	24	2.6103041426688556e-06	1.9244682405850332e-07	1.702096954034119e-05	6.264729942405254e-05	
696	2019-03-30 00:00:00	0.9655288351136107	0.8276441755680525	1	4.827644175568052	0.13975899853562043	0.0	1	3.354215964854891	0.7905331793710195	0.28414885783788024	1	9.486398152452232	0.37646740122399813	0.0	1	9.035217629375955	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.34064404012165567	0.0	1.0	8.175456962919736	1.0	1	1	24	2.6225496146178805e-06	1.9117102452390342e-07	1.694212211505129e-05	6.294119075082912e-05	
720	2019-03-31 00:00:00	0.9626287128596476	0.8131435642982383	1	4.8131435642982385	0.14527686341109916	0.0	1	3.4866447218663805	0.7844015151004942	0.28278884403098187	1	9.41281818120593	0.3781575868109004	0.0	1	9.07578208346161	0	inf	-inf	0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	1	10.0	0.3406440401216559	0.0	1.0	8.175456962919743	1.0	1	1	24	2.637946729393765e-06	1.9244682405850332e-07	1.7161689609918222e-05	6.331072150545034e-05	
