physical_time; RTP_owner.money_spent_reference; RTP_owner.money_spent_simulation
2000-01-01 01:00:00; 0; 0
2000-01-01 02:00:00; 0.1703; 0.1703
2000-01-01 03:00:00; 0.31; 0.31
2000-01-01 04:00:00; 0.4206; 0.4206
2000-01-01 05:00:00; 0.342; 0.342
2000-01-01 06:00:00; 0.342; 0.342
2000-01-01 07:00:00; 0.4014; 0.4014
2000-01-01 08:00:00; 0.6111; 0.6111
2000-01-01 09:00:00; 1.2192; 1.2192
2000-01-01 10:00:00; 1.1754; 1.1754
2000-01-01 11:00:00; 1.332; 1.332
2000-01-01 12:00:00; 1.3870999999999998; 1.3870999999999998
2000-01-01 13:00:00; 1.7292; 1.7292
2000-01-01 14:00:00; 1.8902; 1.8902
2000-01-01 15:00:00; 1.6996; 1.6996
2000-01-01 16:00:00; 1.851; 1.851
2000-01-01 17:00:00; 1.8656; 1.8656
2000-01-01 18:00:00; 2.0484999999999998; 2.0484999999999998
2000-01-01 19:00:00; 3.222; 3.222
2000-01-01 20:00:00; 3.8000000000000003; 3.8000000000000003
2000-01-01 21:00:00; 4.0; 4.0
2000-01-01 22:00:00; 4.2; 4.2
2000-01-01 23:00:00; 4.4; 4.4
2000-01-02 00:00:00; 4.6000000000000005; 4.6000000000000005
