physical_time; background_owner.LTH.energy_bought_reference; converter_owner.LVE.energy_bought_reference; converter_owner.LTH.energy_sold_reference; background_owner.LTH.energy_bought_simulation; converter_owner.LVE.energy_bought_simulation; converter_owner.LTH.energy_sold_simulation
2000-01-01 01:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 02:00:00; 1; 0.5; 1; 1.0; 0.5; 1.0
2000-01-01 03:00:00; 2; 1; 2; 2.0; 1.0; 2.0
2000-01-01 04:00:00; 3; 1.5; 3; 3.0; 1.5; 3.0
2000-01-01 05:00:00; 4; 2; 4; 4.0; 2.0; 4.0
2000-01-01 06:00:00; 5; 2.5; 5; 5.0; 2.5; 5.0
2000-01-01 07:00:00; 6; 3; 6; 6.0; 3.0; 6.0
2000-01-01 08:00:00; 7; 3.5; 7; 7.0; 3.5; 7.0
2000-01-01 09:00:00; 8; 4; 8; 8.0; 4.0; 8.0
2000-01-01 10:00:00; 9; 4.5; 9; 9.0; 4.5; 9.0
2000-01-01 11:00:00; 10; 5; 10; 10.0; 5.0; 10.0
2000-01-01 12:00:00; 11; 5.5; 11; 11.0; 5.5; 11.0
2000-01-01 13:00:00; 12; 6; 12; 12.0; 6.0; 12.0
2000-01-01 14:00:00; 13; 6.5; 13; 13.0; 6.5; 13.0
2000-01-01 15:00:00; 14; 7; 14; 14.0; 7.0; 14.0
2000-01-01 16:00:00; 15; 7.5; 15; 15.0; 7.5; 15.0
2000-01-01 17:00:00; 16; 8; 16; 16.0; 8.0; 16.0
2000-01-01 18:00:00; 17; 8.5; 17; 17.0; 8.5; 17.0
2000-01-01 19:00:00; 18; 9; 18; 18.0; 9.0; 18.0
2000-01-01 20:00:00; 19; 9.5; 19; 19.0; 9.5; 19.0
2000-01-01 21:00:00; 20; 10; 20; 20.0; 10.0; 20.0
2000-01-01 22:00:00; 21; 10.5; 21; 21.0; 10.5; 21.0
2000-01-01 23:00:00; 22; 11; 22; 22.0; 11.0; 22.0
2000-01-02 00:00:00; 22; 11; 22; 22; 11.0; 22.0
