iteration; early_quantity_owner.LVE.energy_bought_reference; expensive_quantity_owner.LVE.energy_bought_reference; consuming_quantity_owner.LVE.energy_bought_reference; early_quantity_owner.LVE.energy_bought_simulation; expensive_quantity_owner.LVE.energy_bought_simulation; consuming_quantity_owner.LVE.energy_bought_simulation
1; 0; 0; 0.011611111111111112; 0; 0; 0.0116111
2; 0.011611111111111112; 0.011611111111111112; 0.011611111111111112; 0.01161111111111111; 0.011611066666666663; 0.011611122222222225
3; 0; 0; 0; 0; 0; 0
4; 0; 0; 0; 0; 0; 0
5; 0; 0; 0; 0; 0; 0
6; 0; 0; 0; 0; 0; 0
7; 0; 0; 0; 0; 0; 0
8; 0; 0; 0; 0; 0; 0
9; 0; 0; 0.011611111111111112; 0; 0; 0.0116111
10; 0.011611111111111112; 0.011611111111111112; 0.011611111111111112; 0.01161111111111111; 0.011611066666666663; 0.011611122222222225
11; 0; 0; 0; 0; 0; 0
12; 0; 0; 0; 0; 0; 0
13; 0; 0; 0; 0; 0; 0
14; 0; 0; 0; 0; 0; 0
15; 0; 0; 0; 0; 0; 0
16; 0; 0; 0; 0; 0; 0
17; 0; 0; 0; 0; 0; 0
18; 0; 0; 0; 0; 0; 0
19; 0; 0; 0; 0; 0; 0
20; 0; 0; 0; 0; 0; 0
21; 0; 0; 0; 0; 0; 0
22; 0; 0; 0; 0; 0; 0
23; 0; 0; 0; 0; 0; 0
24; 0; 0; 0; 0; 0; 0
