iteration; autarky_owner.LVE.energy_bought_reference; autarky_owner.LVE.energy_bought_simulation; autarky_owner.LVE.energy_sold_reference; autarky_owner.LVE.energy_sold_simulation
1; 0; 0; 0; 0
2; 2; 2.0; 2; 2.0
3; 4; 4.0; 4; 4.0
4; 6; 6.0; 6; 6.0
5; 8; 8.0; 8; 8.0
6; 10; 10.0; 10; 10.0
7; 12; 12.0; 12; 12
8; 12; 12.0; 12; 12
9; 12; 12.0; 12; 12
10; 12; 12.0; 12; 12
11; 12; 12.0; 12; 12
12; 12; 12.0; 12; 12
13; 12; 12.0; 12; 12
14; 0; 0; 0; 0
15; 0; 0; 0; 0
16; 0; 0; 0; 0
17; 0; 0; 0; 0
18; 0; 0; 0; 0
19; 0; 0; 0; 0
20; 0; 0; 0; 0
21; 0; 0; 0; 0
22; 0; 0; 0; 0
23; 0; 0; 0; 0
24; 0; 0; 0; 0
