physical_time; early_heating_owner.LVE.energy_bought_reference; hot_heating_owner.LVE.energy_bought_reference; short_usage_heating_owner.LVE.energy_bought_reference; early_heating_owner.LVE.energy_bought_simulation; hot_heating_owner.LVE.energy_bought_simulation; short_usage_heating_owner.LVE.energy_bought_simulation
2000-01-01 01:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 02:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 03:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 04:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 05:00:00; 15.4; 0; 0; 15.400000000000004; 0; 0
2000-01-01 06:00:00; 15.5; 17.5; 15.5; 15.500000000000004; 17.500000000000004; 15.500000000000004
2000-01-01 07:00:00; 15.6; 17.6; 15.6; 15.600000000000003; 17.600000000000005; 15.600000000000003
2000-01-01 08:00:00; 15.8; 17.8; 15.8; 15.800000000000004; 17.800000000000004; 15.800000000000004
2000-01-01 09:00:00; 15.2; 17.2; 15.2; 15.200000000000003; 17.200000000000003; 15.200000000000003
2000-01-01 10:00:00; 14.7; 16.7; 14.7; 14.700000000000003; 16.700000000000003; 14.700000000000003
2000-01-01 11:00:00; 5.2; 16.2; 5.2; 5.200000000000001; 16.200000000000003; 5.200000000000001
2000-01-01 12:00:00; 3.9; 5.9; 3.9; 3.9000000000000012; 5.900000000000001; 3.9000000000000012
2000-01-01 13:00:00; 2.7; 4.7; 2.7; 2.6999999999999997; 4.7; 2.6999999999999997
2000-01-01 14:00:00; 1.4; 3.4; 1.4; 1.4000000000000006; 3.4000000000000012; 1.4000000000000006
2000-01-01 15:00:00; 1.3; 3.3; 1.3; 1.300000000000001; 3.3000000000000016; 1.300000000000001
2000-01-01 16:00:00; 1.1; 3.1; 1.1; 1.0999999999999999; 3.1000000000000005; 1.0999999999999999
2000-01-01 17:00:00; 0.9; 2.9; 0.9; 0.9000000000000006; 2.900000000000001; 0.9000000000000006
2000-01-01 18:00:00; 1.8; 3.8; 1.8; 1.8000000000000012; 3.8000000000000016; 1.8000000000000012
2000-01-01 19:00:00; 2.7; 4.7; 2.7; 2.6999999999999997; 4.7; 2.6999999999999997
2000-01-01 20:00:00; 0; 5.6; 0; 0; 5.6000000000000005; 0
2000-01-01 21:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 22:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 23:00:00; 0; 0; 0; 0; 0; 0
2000-01-02 00:00:00; 0; 0; 0; 0; 0; 0
