_Version	_world.name	_time	_Essai.priority	_Toto.price	_Le chef	_Toto	_Lolo	Somme_test	min_['Toto', 'time']	max_['Toto', 'time']	
0.0	Earth	0	None	None	Erwin?	12	14	12	0	12	
0.0	Earth	2	None	None	Erwin?	12	14	24	2	12	
0.0	Earth	4	None	None	Erwin?	12	14	36	4	12	
0.0	Earth	6	None	None	Erwin?	12	14	48	6	12	
0.0	Earth	8	None	None	Erwin?	12	14	60	8	12	
0.0	Earth	10	None	None	Erwin?	12	14	72	10	12	
0.0	Earth	12	None	None	Erwin?	12	14	84	12	12	
0.0	Earth	14	None	None	Erwin?	12	14	96	12	14	
0.0	Earth	16	None	None	Erwin?	12	14	108	12	16	
0.0	Earth	18	None	None	Erwin?	12	14	120	12	18	
0.0	Earth	20	None	None	Erwin?	12	14	132	12	20	
0.0	Earth	22	None	None	Erwin?	12	14	144	12	22	
0.0	Earth	24	None	None	Erwin?	12	14	156	12	24	
0.0	Earth	26	None	None	Erwin?	12	14	168	12	26	
0.0	Earth	28	None	None	Erwin?	12	14	180	12	28	
0.0	Earth	30	None	None	Erwin?	12	14	192	12	30	
0.0	Earth	32	None	None	Erwin?	12	14	204	12	32	
0.0	Earth	34	None	None	Erwin?	12	14	216	12	34	
0.0	Earth	36	None	None	Erwin?	12	14	228	12	36	
0.0	Earth	38	None	None	Erwin?	12	14	240	12	38	
0.0	Earth	40	None	None	Erwin?	12	14	252	12	40	
0.0	Earth	42	None	None	Erwin?	12	14	264	12	42	
0.0	Earth	44	None	None	Erwin?	12	14	276	12	44	
0.0	Earth	46	None	None	Erwin?	12	14	288	12	46	
0.0	Earth	48	None	None	Erwin?	12	14	300	12	48	
0.0	Earth	50	None	None	Erwin?	12	14	312	12	50	
0.0	Earth	52	None	None	Erwin?	12	14	324	12	52	
0.0	Earth	54	None	None	Erwin?	12	14	336	12	54	
0.0	Earth	56	None	None	Erwin?	12	14	348	12	56	
0.0	Earth	58	None	None	Erwin?	12	14	360	12	58	
0.0	Earth	60	None	None	Erwin?	12	14	372	12	60	
0.0	Earth	62	None	None	Erwin?	12	14	384	12	62	
0.0	Earth	64	None	None	Erwin?	12	14	396	12	64	
0.0	Earth	66	None	None	Erwin?	12	14	408	12	66	
0.0	Earth	68	None	None	Erwin?	12	14	420	12	68	
0.0	Earth	70	None	None	Erwin?	12	14	432	12	70	
0.0	Earth	72	None	None	Erwin?	12	14	444	12	72	
0.0	Earth	74	None	None	Erwin?	12	14	456	12	74	
0.0	Earth	76	None	None	Erwin?	12	14	468	12	76	
0.0	Earth	78	None	None	Erwin?	12	14	480	12	78	
0.0	Earth	80	None	None	Erwin?	12	14	492	12	80	
0.0	Earth	82	None	None	Erwin?	12	14	504	12	82	
0.0	Earth	84	None	None	Erwin?	12	14	516	12	84	
0.0	Earth	86	None	None	Erwin?	12	14	528	12	86	
0.0	Earth	88	None	None	Erwin?	12	14	540	12	88	
0.0	Earth	90	None	None	Erwin?	12	14	552	12	90	
0.0	Earth	92	None	None	Erwin?	12	14	564	12	92	
0.0	Earth	94	None	None	Erwin?	12	14	576	12	94	
0.0	Earth	96	None	None	Erwin?	12	14	588	12	96	
0.0	Earth	98	None	None	Erwin?	12	14	600	12	98	
